"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-22T17:46:21Z"
"Version","20250522174621"
"OfferCode","ElasticMapReduce"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","usageType","operation","Compute","ComputeProvider","MeterUnit","Region Code","serviceName","Software Type"
"35KR8Y4Y6Z4PKW9X","JRTCKXETXF","35KR8Y4Y6Z4PKW9X.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR i3en.12xlarge","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","i3en.12xlarge","Storage optimized","BoxUsage:i3en.12xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"36MU3PQJQ9Y9P3QP","JRTCKXETXF","36MU3PQJQ9Y9P3QP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.78 per hour for EMR m4.large with Hunk","2025-05-01","0","Inf","Hrs","0.7800000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m4.large","General purpose","HunkBoxUsage:m4.large","",,,,"us-east-1","Amazon Elastic MapReduce","Hunk"
"37SE646U2M86NN92","JRTCKXETXF","37SE646U2M86NN92.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.377525 per hour for EMR i7i.4xlarge","2025-05-01","0","Inf","Hrs","0.3775250000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","i7i.4xlarge","Storage optimized","BoxUsage:i7i.4xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"394XAA9GGEC5BPZG","JRTCKXETXF","394XAA9GGEC5BPZG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.048 per hour for EMR m5.xlarge","2025-05-01","0","Inf","Hrs","0.0480000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m5.xlarge","General purpose","BoxUsage:m5.xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"39RYEHPKYWE2CQFK","JRTCKXETXF","39RYEHPKYWE2CQFK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.9492 per hour for EMR m6id.16xlarge","2025-05-01","0","Inf","Hrs","0.9492000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m6id.16xlarge","General purpose","BoxUsage:m6id.16xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"39WGK96SKGNB5TW9","JRTCKXETXF","39WGK96SKGNB5TW9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27846 per hour for EMR m6in.4xlarge","2025-05-01","0","Inf","Hrs","0.2784600000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m6in.4xlarge","General purpose","BoxUsage:m6in.4xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"3CWV8SX34XVCWEG7","JRTCKXETXF","3CWV8SX34XVCWEG7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR g3.8xlarge","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","g3.8xlarge","GPU instance","BoxUsage:g3.8xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"3DYYZFJ9VKJ2TSJP","JRTCKXETXF","3DYYZFJ9VKJ2TSJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR r5ad.24xlarge","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","r5ad.24xlarge","Memory optimized","BoxUsage:r5ad.24xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"3E3UZHQZ23FHCDCK","JRTCKXETXF","3E3UZHQZ23FHCDCK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR g4dn.16xlarge","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","g4dn.16xlarge","GPU instance","BoxUsage:g4dn.16xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"3EP82NPFHSYT6H5K","JRTCKXETXF","3EP82NPFHSYT6H5K.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.87 per hour for EMR c1.xlarge with Hunk","2025-05-01","0","Inf","Hrs","0.8700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c1.xlarge","Compute optimized","HunkBoxUsage:c1.xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","Hunk"
