"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-14T17:46:14Z"
"Version","20250514174614"
"OfferCode","awswaf"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"EHBX288VZQW9B69X","JRTCKXETXF","EHBX288VZQW9B69X.JRTCKXETXF.A6VD9GXV7W","OnDemand","$0 per thousand requests (Tier 0) processed by Fraud Control AMR","2025-05-01","0","10000","Request","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request (Shield Protected)","AMR Fraud Control request processed (Shield Protected)","USE1-ShieldProtected-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"EHBX288VZQW9B69X","JRTCKXETXF","EHBX288VZQW9B69X.JRTCKXETXF.Q8U7ERQMFZ","OnDemand","$1.00 per thousand requests (Tier 1) processed by Fraud Control AMR","2025-05-01","10000","2000000","Request","0.0010000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request (Shield Protected)","AMR Fraud Control request processed (Shield Protected)","USE1-ShieldProtected-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"EHBX288VZQW9B69X","JRTCKXETXF","EHBX288VZQW9B69X.JRTCKXETXF.4KF9HH2TZ4","OnDemand","$0.70 per thousand requests (Tier 2) processed by Fraud Control AMR","2025-05-01","2000000","5000000","Request","0.0007000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request (Shield Protected)","AMR Fraud Control request processed (Shield Protected)","USE1-ShieldProtected-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"EHBX288VZQW9B69X","JRTCKXETXF","EHBX288VZQW9B69X.JRTCKXETXF.7UCCNN4NE8","OnDemand","$0.40 per thousand requests (Tier 3) processed by Fraud Control AMR","2025-05-01","5000000","15000000","Request","0.0004000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request (Shield Protected)","AMR Fraud Control request processed (Shield Protected)","USE1-ShieldProtected-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"EHBX288VZQW9B69X","JRTCKXETXF","EHBX288VZQW9B69X.JRTCKXETXF.KCDPB7BUTC","OnDemand","$0.20 per thousand requests (Tier 4) processed by Fraud Control AMR","2025-05-01","15000000","30000000","Request","0.0002000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request (Shield Protected)","AMR Fraud Control request processed (Shield Protected)","USE1-ShieldProtected-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"EHBX288VZQW9B69X","JRTCKXETXF","EHBX288VZQW9B69X.JRTCKXETXF.FNBKGN7CAD","OnDemand","$0.05 per thousand requests (Tier 5) processed by Fraud Control AMR","2025-05-01","30000000","Inf","Request","0.0000500000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Fraud Control Request (Shield Protected)","AMR Fraud Control request processed (Shield Protected)","USE1-ShieldProtected-AMR-FraudControl-Request","","us-east-1","AWS WAF"
"EPAUCVUWWA2KKASV","JRTCKXETXF","EPAUCVUWWA2KKASV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.40 per million requests processed (Shield Protected)","2025-05-01","0","Inf","Request","0.0000014000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Request Processed Tier8 5000WCU (Shield Protected)","USE1-ShieldProtected-RequestV2-Tier8-5000WCU","","us-east-1","AWS WAF"
"EYAKTKHF85XAV7AK","JRTCKXETXF","EYAKTKHF85XAV7AK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per million requests processed (Shield Protected)","2025-05-01","0","Inf","Request","0.0000010000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Request Processed Tier6 4000WCU (Shield Protected)","USE1-ShieldProtected-RequestV2-Tier6-4000WCU","","us-east-1","AWS WAF"
"FCE22QDDCQXKH82Z","JRTCKXETXF","FCE22QDDCQXKH82Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per Request for Request Processed Tier0 (Shield Protected) in US East (N. Virginia)","2025-05-01","0","Inf","Request","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Request Processed Tier0 (Shield Protected)","USE1-ShieldProtected-RequestV2-Tier0","","us-east-1","AWS WAF"
"GDKVWUESJPVRH3QE","JRTCKXETXF","GDKVWUESJPVRH3QE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.00 per month for each Bot Control managed rule group enabled (prorated hourly)","2025-05-01","0","Inf","Month","10.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Bot Control Entity (Shield Protected)","AMR Bot Control Activated (Shield Protected)","USE1-ShieldProtected-AMR-BotControl","","us-east-1","AWS WAF"
