"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-11-22T17:04:56Z"
"Version","20221122170456"
"OfferCode","AmazonCloudSearch"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Group","Group Description","usageType","operation","Cloud Search Version","Region Code","serviceName"
"M95HPQVVEYT6Z67G","JRTCKXETXF","M95HPQVVEYT6Z67G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.059 per search.small instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.0590000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.small",,,"SearchInstance:search.small","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"MJ3CT33DK8WD5HSX","JRTCKXETXF","MJ3CT33DK8WD5HSX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.188 per search.large instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.1880000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.large",,,"SearchInstance:search.large","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"N8FTRM39EJ8VFDHT","JRTCKXETXF","N8FTRM39EJ8VFDHT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.059 per search.m1.small instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.0590000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m1.small",,,"SearchInstance:m1.small","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"NSF2FJ5XZD6C43JK","JRTCKXETXF","NSF2FJ5XZD6C43JK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.376 per search.m3.xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.3760000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m3.xlarge",,,"SearchInstance:m3.xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"P7EHWN6KUK2BDUPQ","JRTCKXETXF","P7EHWN6KUK2BDUPQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.236 per search.previousgeneration.large instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.2360000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.previousgeneration.large",,,"SearchInstance:search.previousgeneration.large","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"QQW487X6BV7WCT8Z","JRTCKXETXF","QQW487X6BV7WCT8Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.376 per search.m3.xlarge instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.3760000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m3.xlarge",,,"SearchInstance:m3.xlarge","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"S7G3EEKUZANEHBJD","JRTCKXETXF","S7G3EEKUZANEHBJD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.752 per search.2xlarge instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.7520000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.2xlarge",,,"SearchInstance:search.2xlarge","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"SHV8SGFTAFC7TRZU","JRTCKXETXF","SHV8SGFTAFC7TRZU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per 1000 document batch upload requests running CloudSearch 2011","2021-08-01","0","Inf","Requests","0.0001000000","USD","API Request","AmazonCloudSearch","US East (N. Virginia)","AWS Region",,"DocumentBatchUpload","Document batches uploaded to your search domain","DocumentBatchUpload","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"T6E8WZ64RT7PAHFZ","JRTCKXETXF","T6E8WZ64RT7PAHFZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.059 per search.m1.small instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.0590000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m1.small",,,"SearchInstance:m1.small","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"T7ET8JG337W4THS5","JRTCKXETXF","T7ET8JG337W4THS5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.236 per search.previousgeneration.large instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.2360000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.previousgeneration.large",,,"SearchInstance:search.previousgeneration.large","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"THJNFRBA8BPJNW67","JRTCKXETXF","THJNFRBA8BPJNW67.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.094 per search.medium instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.0940000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.medium",,,"SearchInstance:search.medium","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"TP2RDEZ479S6A84U","JRTCKXETXF","TP2RDEZ479S6A84U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.306 per search.m2.xlarge instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.3060000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m2.xlarge",,,"SearchInstance:m2.xlarge","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"V2MCNNQBAZYKJ7WJ","JRTCKXETXF","V2MCNNQBAZYKJ7WJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.613 per search.m2.2xlarge instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.6130000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m2.2xlarge",,,"SearchInstance:m2.2xlarge","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"WKZT9M9JTSHCFNEP","JRTCKXETXF","WKZT9M9JTSHCFNEP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.059 per search.small instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.0590000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.small",,,"SearchInstance:search.small","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"X9HAE4ACB2E295JY","JRTCKXETXF","X9HAE4ACB2E295JY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.376 per search.xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.3760000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.xlarge",,,"SearchInstance:search.xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"Y8VCGASUY87JU5SQ","JRTCKXETXF","Y8VCGASUY87JU5SQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.094 per search.m3.medium instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.0940000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m3.medium",,,"SearchInstance:m3.medium","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"YJ2B622UGN7PSSNB","JRTCKXETXF","YJ2B622UGN7PSSNB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.306 per search.previousgeneration.xlarge instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.3060000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.previousgeneration.xlarge",,,"SearchInstance:search.previousgeneration.xlarge","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"ZNF9HFUT528XVM6D","JRTCKXETXF","ZNF9HFUT528XVM6D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.752 per search.m3.2xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.7520000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m3.2xlarge",,,"SearchInstance:m3.2xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
