"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T15:09:03Z"
"Version","20250521150903"
"OfferCode","AmazonBedrock"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Architecture","Architecture Name","Custom Model Unit Version","Feature","Feature Type","Inference Type","Model","Model Unit","Policy Type","Provider","Region Code","serviceName","Titan Model","Titan Model Unit"
"53H5R5ST2K32S9HM","JRTCKXETXF","53H5R5ST2K32S9HM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.008 per 1K tokens for Nova Pro-Customization-Training in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0080000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaPro-Customization-Training","",,,,"Model Customization","Training",,"Nova Pro",,,,"us-east-1","Amazon Bedrock",,
"55ZV9VPWSDHUWN3G","JRTCKXETXF","55ZV9VPWSDHUWN3G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002 per 1K tokens for Nova Lite-Customization-Training in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0020000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaLite-Customization-Training","",,,,"Model Customization","Training",,"Nova Lite",,,,"us-east-1","Amazon Bedrock",,
"563C8K4W9K4T36JC","JRTCKXETXF","563C8K4W9K4T36JC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.95 per Model/month for USE1-NovaCanvas-Customization-Storage in US East (N. Virginia)","2025-05-01","0","Inf","Model/month","1.9500000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaCanvas-Customization-Storage","",,,,"Model Customization","Storage",,"Nova Canvas",,,,"us-east-1","Amazon Bedrock",,
"599TGF6MA4RKPGCC","JRTCKXETXF","599TGF6MA4RKPGCC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.95 per Model/month for TitanTextG1-Express-Customization-Storage in US East (N. Virginia)","2025-05-01","0","Inf","Model/month","1.9500000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanTextG1-Express-Customization-Storage","",,,,"Model Customization","Storage",,,,,,"us-east-1","Amazon Bedrock","Titan Text G1 Express",
"5DRBQCK2SUKSM3FJ","JRTCKXETXF","5DRBQCK2SUKSM3FJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.012 per image for TitanImageGeneratorV2-I2I-1024-Premium in US East (N. Virginia)","2025-05-01","0","Inf","image","0.0120000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanImageGeneratorV2-I2I-1024-Premium","",,,,"On-demand Inference",,"I2I 1024 Premium",,,,,"us-east-1","Amazon Bedrock","Titan Image Generator V2",
"5TGU682Y6PAQM5Y4","JRTCKXETXF","5TGU682Y6PAQM5Y4.JRTCKXETXF.6YS6EN2CT7","OnDemand",".0035 per 1K output tokens for Llama 3 70B in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0035000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Llama3-70B-output-tokens","",,,,"On-demand Inference",,"Output tokens","Llama 3 70B",,,"Meta","us-east-1","Amazon Bedrock",,
"5XAWKU6UNQYKN8X4","JRTCKXETXF","5XAWKU6UNQYKN8X4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0005 per 1K tokens for Mistral Small input tokens in US East (N.Virginia) for Batch","2025-05-01","0","Inf","1K tokens","0.0005000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-MistralSmall-input-tokens-batch","",,,,"Batch Inference",,"Input tokens","Mistral Small",,,"Mistral","us-east-1","Amazon Bedrock",,
"6229G6AS7DX4T8XC","JRTCKXETXF","6229G6AS7DX4T8XC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per Per 1000 requests for USE1-Prompt-Routing-requests in US East (N. Virginia)","2025-05-01","0","Inf","Per 1000 requests","1.0000000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Prompt-Routing-requests","",,,,"Prompt Router",,,,,,,"us-east-1","Amazon Bedrock",,
"65ZWW7U6TE7C49D9","JRTCKXETXF","65ZWW7U6TE7C49D9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00015 per 1K output tokens for Llama 3.2 3B in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0001500000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Llama3-2-3B-output-tokens","",,,,"On-demand Inference",,"Output tokens","Llama 3.2 3B",,,"Meta","us-east-1","Amazon Bedrock",,
"6765QJ7J726SM42X","JRTCKXETXF","6765QJ7J726SM42X.JRTCKXETXF.6YS6EN2CT7","OnDemand","$98.32 per hour for NovaPro-ProvisionedThroughput-1months-ModelUnits in US East (N. Virginia)","2025-05-01","0","Inf","hour","98.3200000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaPro-ProvisionedThroughput-1month-ModelUnits","",,,,"Provisioned Throughput Inference - 1 month",,,"Nova Pro","Nova Pro",,,"us-east-1","Amazon Bedrock",,
