"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-01-13T11:11:33Z"
"Version","20250113111133"
"OfferCode","VMwareCloudOnAWS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","BrioProductId","ChargeId","Instance","IsCommitCPSKU","ProductGroupId","ProductSubGroup","Region Code","serviceName","VMWareProductId","VMwareRegion"
"6KCFZ59B6UPEXWVZ","JRTCKXETXF","6KCFZ59B6UPEXWVZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to IPB50","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to IPB50","US East (N. Virginia)","AWS Region","USE1-IPB50-DataXfer-In","VMC-CreatePrivateVlan","1ECD085F720D4185","VOD-OB-XZQ",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"6M9JSAEK744CMJVK","JRTCKXETXF","6M9JSAEK744CMJVK.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to CSSV4","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to CSSV4","US East (N. Virginia)","AWS Region","USE1-CSSV4-DataXfer-In","VMC-CreatePrivateVlan","775FAEAE4CE849BD","VOD-OB-XWJ",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"6WYWMT2Q4V9DPYYN","JRTCKXETXF","6WYWMT2Q4V9DPYYN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - data transfer to Asia Pacific (Mumbai)","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - data transfer to Asia Pacific (Mumbai)","US East (N. Virginia)","AWS Region","USE1-APS3-AWS-Out-Bytes","VMC-DataTransfer","BD96731620384FA4","VOD-BW-DA",,"N/A","VMWARE-VMC-AWS","Data Transfer","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"73QMTPDX3D3Z94JF","JRTCKXETXF","73QMTPDX3D3Z94JF.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to THV52","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to THV52","US East (N. Virginia)","AWS Region","USE1-THV52-DataXfer-In","VMC-CreatePrivateVlan","ABF334B4C0884283","VOD-OB-XZA",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"7F78Z2WF97UJPVFP","JRTCKXETXF","7F78Z2WF97UJPVFP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - data transfer to AWS GovCloud (US)","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - data transfer to AWS GovCloud (US)","US East (N. Virginia)","AWS Region","USE1-UGW1-AWS-Out-Bytes","VMC-DataTransfer","093BA48BFE24479C","VOD-BW-DF",,"N/A","VMWARE-VMC-AWS","Data Transfer","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"7GJ3WXMFVF4S2QWT","JRTCKXETXF","7GJ3WXMFVF4S2QWT.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - data transfer to Asia Pacific (Sydney)","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - data transfer to Asia Pacific (Sydney)","US East (N. Virginia)","AWS Region","USE1-APS2-AWS-Out-Bytes","VMC-DataTransfer","8B582D92F03745F0","VOD-BW-DD",,"N/A","VMWARE-VMC-AWS","Data Transfer","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"7MJDUWFV24YZKPVQ","JRTCKXETXF","7MJDUWFV24YZKPVQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to CHT51","2024-12-01","0","Inf","GB","0.0491000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to CHT51","US East (N. Virginia)","AWS Region","USE1-CHT51-DataXfer-In","VMC-CreatePrivateVlan","2C4F8362B3004532","VOD-OB-XZD",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"7VZA6MJ7C327UEHB","JRTCKXETXF","7VZA6MJ7C327UEHB.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to PEH51","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to PEH51","US East (N. Virginia)","AWS Region","USE1-PEH51-DataXfer-In","VMC-CreatePrivateVlan","3DC9466EAE47462A","VOD-OB-XZW",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"7Z96U6A52YDY3JXQ","JRTCKXETXF","7Z96U6A52YDY3JXQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EqSY3","2024-12-01","0","Inf","GB","0.0600000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EqSY3","US East (N. Virginia)","AWS Region","USE1-EqSY3-DataXfer-In","VMC-CreatePrivateVlan","4CB297C539BB4C56","VOD-OB-XYD",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"7ZT9NQF5JP4Q59EK","JRTCKXETXF","7ZT9NQF5JP4Q59EK.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to MB1SD","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to MB1SD","US East (N. Virginia)","AWS Region","USE1-MB1SD-DataXfer-In","VMC-CreatePrivateVlan","1C977E5CDF994502","VOD-OB-XXU",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
