"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T03:35:43Z"
"Version","20250521033543"
"OfferCode","AmazonVPC"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Endpoint Type","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Attachment Type","From Region Code","Region Code","serviceName","To Region Code"
"DQYYEZBCWSW5XS2R","JRTCKXETXF","DQYYEZBCWSW5XS2R.JRTCKXETXF.RBMR72YW69","OnDemand","$0.006 per GB for more than 1 PB and less than 5 PB monthly data processed by VPC Endpoints","2025-05-01","1048576","5242880","GB","0.0060000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","PrivateLink","VPCE:VpcEndpoint","Charge for per GB data processed by VPC Endpoints",,,,,,"USE1-VpcEndpoint-Bytes","VpcEndpoint",,,"us-east-1","Amazon Virtual Private Cloud",
"DQYYEZBCWSW5XS2R","JRTCKXETXF","DQYYEZBCWSW5XS2R.JRTCKXETXF.SW9U2ZKBYX","OnDemand","$0.004 per GB for more than 5 PB monthly data processed by VPC Endpoints","2025-05-01","5242880","Inf","GB","0.0040000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","PrivateLink","VPCE:VpcEndpoint","Charge for per GB data processed by VPC Endpoints",,,,,,"USE1-VpcEndpoint-Bytes","VpcEndpoint",,,"us-east-1","Amazon Virtual Private Cloud",
"EC5BHP9ZANKN9EQD","JRTCKXETXF","EC5BHP9ZANKN9EQD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per VPN Connection-Hour","2025-05-01","0","Inf","Hrs","0.0500000000","USD","Cloud Connectivity","AmazonVPC","US East (N. Virginia)","AWS Region","IPsec",,,,,,,,"VPN-Usage-Hours:ipsec.1","CreateVpnConnection",,,"us-east-1","Amazon Virtual Private Cloud",
"EN2N5TATXE673A3B","JRTCKXETXF","EN2N5TATXE673A3B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per VPC Endpoint Hour","2025-05-01","0","Inf","Hrs","0.0100000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","PrivateLink","VPCE:VpcEndpoint","Hourly charge for VPC Endpoints",,,,,,"USE1-VpcEndpoint-Hours","VpcEndpoint",,,"us-east-1","Amazon Virtual Private Cloud",
"F6U9HDNT75GWAMM2","JRTCKXETXF","F6U9HDNT75GWAMM2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1 per analysis processed by VPC Reachability Analyzer","2025-05-01","0","Inf","ReachabilityAnalyses","0.1000000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSReachabilityAnalyzer","Charge per analysis processed by VPC Reachability Analyzer",,,,,,"USE1-Analysis-Runs","RunAnalysis",,,"us-east-1","Amazon Virtual Private Cloud",
"FBSC9FB2KXJ38ZUZ","JRTCKXETXF","FBSC9FB2KXJ38ZUZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per Client VPN Connection Hour","2025-05-01","0","Inf","Hourly","0.0500000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSClientVPN","Hourly charge for Client VPN connections",,,,,,"USE1-ClientVPN-ConnectionHours","ClientVPNConnections",,,"us-east-1","Amazon Virtual Private Cloud",
"G45CEDSGU2ER8WPQ","JRTCKXETXF","G45CEDSGU2ER8WPQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.008 per hour per IPv4 address in contiguous IPv4 block","2025-05-01","0","Inf","Hrs","0.0080000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VPCIPv4ContiguousBlocks","Hourly charge for IPv4 address in a contiguous block of IPv4 address",,,,,,"USE1-PublicIPv4:ContiguousBlock","ProvisionIpamPoolCidr",,,"us-east-1","Amazon Virtual Private Cloud",
"GJC3A7G9QS9MK3K3","JRTCKXETXF","GJC3A7G9QS9MK3K3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per GB for USE1-VpcPeering-In-Bytes","2025-05-01","0","Inf","GB","0.0100000000","USD","VPC Peering","AmazonVPC",,,,,,"Intra Region Peering Inbound","US East (N. Virginia)","AWS Region","US East (N. Virginia)","AWS Region","USE1-VpcPeering-In-Bytes","",,"us-east-1",,"Amazon Virtual Private Cloud","us-east-1"
"GR84NRRRB5UQHD5W","JRTCKXETXF","GR84NRRRB5UQHD5W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 for the first 300,000 Connections per hour processed by VPC Lattice Service (N. Virginia)","2025-05-01","0","Inf","Connections","0.0000000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VpcLattice","Free for the first 300,000 Connections per hour processed by VPC Lattice Service",,,,,,"USE1-VPCLattice-ConnectionCount-Free","VpcLattice",,,"us-east-1","Amazon Virtual Private Cloud",
"JJTHUHDDR6A6AMZ2","JRTCKXETXF","JJTHUHDDR6A6AMZ2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1 per Client VPN Endpoint Association Hour","2025-05-01","0","Inf","Hourly","0.1000000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSClientVPN","Hourly charge for Client VPN Endpoints",,,,,,"USE1-ClientVPN-EndpointHours","ClientVPNEndpoints",,,"us-east-1","Amazon Virtual Private Cloud",
"KPTJWQRPRKHTH73R","JRTCKXETXF","KPTJWQRPRKHTH73R.JRTCKXETXF.YHRGHAZCQU","OnDemand","$0.27 per hours for VerifiedAccess-App-Hours:VerifiedAccess-Apps in US East (N. Virginia)","2025-05-01","0","148800","hours","0.2700000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSVerifiedAccess","Hourly charge for Verified Access Applications",,,,,,"USE1-VerifiedAccess-App-Hours","VerifiedAccess-Apps",,,"us-east-1","Amazon Virtual Private Cloud",
"KPTJWQRPRKHTH73R","JRTCKXETXF","KPTJWQRPRKHTH73R.JRTCKXETXF.7P82R4JVNG","OnDemand","$0.20 per hours for VerifiedAccess-App-Hours:VerifiedAccess-Apps in US East (N. Virginia)","2025-05-01","148800","Inf","hours","0.2000000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSVerifiedAccess","Hourly charge for Verified Access Applications",,,,,,"USE1-VerifiedAccess-App-Hours","VerifiedAccess-Apps",,,"us-east-1","Amazon Virtual Private Cloud",
"MH5MV7B93CBZYHYH","JRTCKXETXF","MH5MV7B93CBZYHYH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00027 per hours for IPAddressManager-IP-Hours:IPAM-Active-IP in US East (N. Virginia)","2025-05-01","0","Inf","hours","0.0002700000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSVPCIPAddressManager","Hourly charge for Active IP Addresses",,,,,,"USE1-IPAddressManager-IP-Hours","IPAM-Active-IP",,,"us-east-1","Amazon Virtual Private Cloud",
"NJF9DVF9AEMQYT6B","JRTCKXETXF","NJF9DVF9AEMQYT6B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.75 per Hour for USE1-RouteServer-EndpointHours in US East (N. Virginia)","2025-05-01","0","Inf","Hour","0.7500000000","USD","VPC Route Server","AmazonVPC","US East (N. Virginia)","AWS Region",,"Route Server","Hourly charge for Route Server Endpoints",,,,,,"USE1-RouteServer-EndpointHours","RouteServerEndpoint",,,"us-east-1","Amazon Virtual Private Cloud",
"NWMDJWA6SF7Z3MXD","JRTCKXETXF","NWMDJWA6SF7Z3MXD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB Data Processed by Transit Gateway VPN Attachment","2025-05-01","0","Inf","GigaBytes","0.0200000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSTransitGateway","Charge for per GB data processed by AWS Transit Gateways  for Site-to-Site VPN attachments",,,,,,"USE1-TransitGateway-Bytes","TransitGatewayVPN","AWS Site-to-Site VPN",,"us-east-1","Amazon Virtual Private Cloud",
