"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-16T23:51:21Z"
"Version","20250416235121"
"OfferCode","AWSEndUserMessaging3pFees"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Conversation Type","ISO","Message Fee","Message Type","Region Code","serviceName"
"2KKWV6BDXTUJRTXJ","JRTCKXETXF","2KKWV6BDXTUJRTXJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Morocco using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-MA-ConversationFee-Service","","Service","MA","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2KPXA5G9TRNQEYSZ","JRTCKXETXF","2KPXA5G9TRNQEYSZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Aruba using Marketing template","2025-04-01","0","Inf","Messages","0.0604000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-AW-ConversationFee-Marketing","","Marketing","AW","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2MP8VS6CPHQWJ73F","JRTCKXETXF","2MP8VS6CPHQWJ73F.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Belarus using Utility template","2025-04-01","0","Inf","Messages","0.0353000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-BY-ConversationFee-Utility","","Utility","BY","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2N2JVDUAUPYH8KFQ","JRTCKXETXF","2N2JVDUAUPYH8KFQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Chile using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-CL-ConversationFee-Service","","Service","CL","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2PE9TCK7ZB379PSH","JRTCKXETXF","2PE9TCK7ZB379PSH.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Zambia using Marketing template","2025-04-01","0","Inf","Messages","0.0225000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-ZM-ConversationFee-Marketing","","Marketing","ZM","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2SP6HCGYHJNZG4NY","JRTCKXETXF","2SP6HCGYHJNZG4NY.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Ukraine using Authentication template","2025-04-01","0","Inf","Messages","0.0557000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-UA-ConversationFee-Authentication","","Authentication","UA","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2UA45TFMJKMA8SQR","JRTCKXETXF","2UA45TFMJKMA8SQR.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Moldova using Utility template","2025-04-01","0","Inf","Messages","0.0353000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-MD-ConversationFee-Utility","","Utility","MD","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2UPGC5JADKCDKC2Q","JRTCKXETXF","2UPGC5JADKCDKC2Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Guadeloupe using Utility template","2025-04-01","0","Inf","Messages","0.0077000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GP-ConversationFee-Utility","","Utility","GP","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2VMJ2CZAZDDSQ7KH","JRTCKXETXF","2VMJ2CZAZDDSQ7KH.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to British Virgin Islands using Authentication template","2025-04-01","0","Inf","Messages","0.0304000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-VG-ConversationFee-Authentication","","Authentication","VG","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2Z322ZCUZ3XFW687","JRTCKXETXF","2Z322ZCUZ3XFW687.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Guernsey using Utility template","2025-04-01","0","Inf","Messages","0.0077000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GG-ConversationFee-Utility","","Utility","GG","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
