"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-10-29T16:40:50Z"
"Version","20241029164050"
"OfferCode","AmazonTextract"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","API Type","Entity Type","PlatoPageDataType","PricingUnit","Region Code","serviceName"
"E7SCKVY9F56C6DAH","JRTCKXETXF","E7SCKVY9F56C6DAH.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.015 per page for AsyncQueriesPagesProcessed in US East (N. Virginia); [0 to 1000000] pages tier","2024-10-01","0","1000000","Pages","0.0150000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-AsyncQueriesPagesProcessed","","Async","Queries","AsyncQueriesPagesProcessed",,"us-east-1","Amazon Textract"
"E7SCKVY9F56C6DAH","JRTCKXETXF","E7SCKVY9F56C6DAH.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.01 per page for AsyncQueriesPagesProcessed in US East (N. Virginia); [1000000 to Inf] pages tier","2024-10-01","1000000","Inf","Pages","0.0100000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-AsyncQueriesPagesProcessed","","Async","Queries","AsyncQueriesPagesProcessed",,"us-east-1","Amazon Textract"
"EBCHQCQPSYNXQMXB","JRTCKXETXF","EBCHQCQPSYNXQMXB.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.080 per page for SyncFormsCustomQueriesTablesPagesProcessed in US East (N. Virginia);[0 to 1000000] pages tier","2024-10-01","0","1000000","Pages","0.0800000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncFormsCustomQueriesTablesPagesProcessed","","Sync","Forms+CustomQueries+Tables","SyncFormsCustomQueriesTablesPagesProcessed","Pages","us-east-1","Amazon Textract"
"EBCHQCQPSYNXQMXB","JRTCKXETXF","EBCHQCQPSYNXQMXB.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.060 per page for SyncFormsCustomQueriesTablesPagesProcessed in US East (N. Virginia);[1000000 to Inf] pages tier","2024-10-01","1000000","Inf","Pages","0.0600000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncFormsCustomQueriesTablesPagesProcessed","","Sync","Forms+CustomQueries+Tables","SyncFormsCustomQueriesTablesPagesProcessed","Pages","us-east-1","Amazon Textract"
"ECAEBTT5K856YES6","JRTCKXETXF","ECAEBTT5K856YES6.JRTCKXETXF.NADQ2ZJX8V","OnDemand","$0.025 per Pages for SyncIDPagesProcessed in US East (N. Virginia)","2024-10-01","0","100000","Pages","0.0250000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze ID API Requests","Number of pages processed using AnalyzeID","USE1-SyncIDPagesProcessed","","Sync Analyze ID","ID","SyncIDPagesProcessed",,"us-east-1","Amazon Textract"
"ECAEBTT5K856YES6","JRTCKXETXF","ECAEBTT5K856YES6.JRTCKXETXF.FF8BMSDA2R","OnDemand","$0.010 per Pages for SyncIDPagesProcessed in US East (N. Virginia)","2024-10-01","100000","Inf","Pages","0.0100000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze ID API Requests","Number of pages processed using AnalyzeID","USE1-SyncIDPagesProcessed","","Sync Analyze ID","ID","SyncIDPagesProcessed",,"us-east-1","Amazon Textract"
"EQ94UE9NS76BAU2W","JRTCKXETXF","EQ94UE9NS76BAU2W.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.065 per page for AsyncFormsCustomQueriesPagesProcessed in US East (N. Virginia);[0 to 1000000] pages tier","2024-10-01","0","1000000","Pages","0.0650000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-AsyncFormsCustomQueriesPagesProcessed","","Async","Forms+CustomQueries","AsyncFormsCustomQueriesPagesProcessed","Pages","us-east-1","Amazon Textract"
"EQ94UE9NS76BAU2W","JRTCKXETXF","EQ94UE9NS76BAU2W.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.050 per page for AsyncFormsCustomQueriesPagesProcessed in US East (N. Virginia);[1000000 to Inf] pages tier","2024-10-01","1000000","Inf","Pages","0.0500000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-AsyncFormsCustomQueriesPagesProcessed","","Async","Forms+CustomQueries","AsyncFormsCustomQueriesPagesProcessed","Pages","us-east-1","Amazon Textract"
"MU9BPN7BUTB9FTQJ","JRTCKXETXF","MU9BPN7BUTB9FTQJ.JRTCKXETXF.SB2VSFF4TP","OnDemand","SyncPagesProcessed: 0 - 1M DetectDocumentText pages processed USD per month, $1.50 USD per 1000 pages","2024-10-01","0","1000000","Pages","0.0015000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract DocumentText API Requests","Number of pages processed using DetectDocumentText","USE1-SyncTextPagesProcessed","","Sync","Text","SyncTextPagesProcessed",,"us-east-1","Amazon Textract"
"MU9BPN7BUTB9FTQJ","JRTCKXETXF","MU9BPN7BUTB9FTQJ.JRTCKXETXF.VNJQCFJPS4","OnDemand","SyncPagesProcessed: 1M+ DetectDocumentText pages processed USD per month, $0.60 USD per 1000 pages","2024-10-01","1000000","Inf","Pages","0.0006000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract DocumentText API Requests","Number of pages processed using DetectDocumentText","USE1-SyncTextPagesProcessed","","Sync","Text","SyncTextPagesProcessed",,"us-east-1","Amazon Textract"
