"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-02-04T16:14:13Z"
"Version","20250204161413"
"OfferCode","AWSM2"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","usageType","operation","FreeTier","Product Name","Region Code","serviceName"
"3Y9EY2D7GEC6UD3J","JRTCKXETXF","3Y9EY2D7GEC6UD3J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.31/hour for BluAgeRuntime-Custom on t2.small in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.3100000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","t2.small","USE1-t2.smallBluAgeRuntime-Custom","","Paid","Blu Age Runtime Custom","us-east-1","AWS Mainframe Modernization"
"3Z6RZ9J7XEMGCV66","JRTCKXETXF","3Z6RZ9J7XEMGCV66.JRTCKXETXF.6YS6EN2CT7","OnDemand","$38.52/hour for EnterpriseDeveloper on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","38.5200000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","c5.9xlarge","USE1-c5.9xlargeEnterpriseDeveloper","","Paid","Enterprise Developer","us-east-1","AWS Mainframe Modernization"
"46JUX2F8YH99WBJY","JRTCKXETXF","46JUX2F8YH99WBJY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.31/hour for BluAgeRuntime-EC2Deployed on m5.large in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.3100000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5.large","USE1-m5.largeBluAgeRuntime-EC2Deployed","","Paid","Blu Age Runtime on EC2","us-east-1","AWS Mainframe Modernization"
"47G8AHNZPHPYM69B","JRTCKXETXF","47G8AHNZPHPYM69B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$68.48/hour for EnterpriseDeveloper on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","68.4800000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5.16xlarge","USE1-m5.16xlargeEnterpriseDeveloper","","Paid","Enterprise Developer","us-east-1","AWS Mainframe Modernization"
"48B4NSJF4EVQREBP","JRTCKXETXF","48B4NSJF4EVQREBP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$44.4/hour for EnterpriseServer on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","44.4000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","r6i.4xlarge","USE1-r6i.4xlargeEnterpriseServer","","Paid","Enterprise Server","us-east-1","AWS Mainframe Modernization"
"48QB4KB83JTJPV7P","JRTCKXETXF","48QB4KB83JTJPV7P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BuildTools on c6i.4xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","c6i.4xlarge","USE1-c6i.4xlargeBuildTools","","Paid","Build Tools","us-east-1","AWS Mainframe Modernization"
"48QSUH5DP6KWXWZH","JRTCKXETXF","48QSUH5DP6KWXWZH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BuildTools on m5zn.large in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5zn.large","USE1-m5zn.largeBuildTools","","Paid","Build Tools","us-east-1","AWS Mainframe Modernization"
"4998QD27GMUVQNR6","JRTCKXETXF","4998QD27GMUVQNR6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$11.1/hour for EnterpriseServer on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","11.1000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","c5.xlarge","USE1-c5.xlargeEnterpriseServer","","Paid","Enterprise Server","us-east-1","AWS Mainframe Modernization"
"4CEMGKC9JTTH3T6V","JRTCKXETXF","4CEMGKC9JTTH3T6V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$14.88/hour for BluAgeRuntime-EC2Deployed on r7a.24xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","14.8800000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","r7a.24xlarge","USE1-r7a.24xlargeBluAgeRuntime-EC2Deployed","","Paid","Blu Age Runtime on EC2","us-east-1","AWS Mainframe Modernization"
"4EE7EW8ZAUF5R4JC","JRTCKXETXF","4EE7EW8ZAUF5R4JC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.24/hour for BluAgeRuntime-Custom on m5.2xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","1.2400000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5.2xlarge","USE1-m5.2xlargeBluAgeRuntime-Custom","","Paid","Blu Age Runtime Custom","us-east-1","AWS Mainframe Modernization"
