"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-08-29T17:20:11Z"
"Version","20240829172011"
"OfferCode","AmazonFinSpace"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","vCPU","Memory","usageType","operation","ComputeSize","ComputeType","Details","Node","Region Code","serviceName","StorageType","UserType"
"HRFJMWMSQ7CRRW2U","JRTCKXETXF","HRFJMWMSQ7CRRW2U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.04 USD per hour for kx.sg.8xlarge in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","5.0400000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","32","216","USE1-KdbScalingGroupHost:kx.sg.8xlarge","RunClusterSingleAz",,,"kx.sg.8xlarge","kx.sg.8xlarge","us-east-1","Amazon FinSpace",,
"MA777B5T8GDUHNRJ","JRTCKXETXF","MA777B5T8GDUHNRJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.25 per minutes for Clusters:Medium:RunCluster in US East (N. Virginia)","2024-08-01","0","Inf","minutes","0.2500000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-Clusters:Medium","RunCluster","Medium","Cluster",,,"us-east-1","Amazon FinSpace",,
"N2YKZ46KRN9VAPR5","JRTCKXETXF","N2YKZ46KRN9VAPR5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.21 per GB-month for 250 MB/s/TiB Volume SSD Volume in US East (N. Virginia)","2024-08-01","0","Inf","GB-month","0.2100000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-KdbVolume:kdbfilefs250","StorageProvisioned",,,,,"us-east-1","Amazon FinSpace","SSD 250 MB/s/TiB",
"NVT9XZESZQKYKTUW","JRTCKXETXF","NVT9XZESZQKYKTUW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.00 per minutes for Clusters:XXLarge:RunCluster in US East (N. Virginia)","2024-08-01","0","Inf","minutes","2.0000000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-Clusters:XXLarge","RunCluster","XXLarge","Cluster",,,"us-east-1","Amazon FinSpace",,
"QYSURS4Y2V577W36","JRTCKXETXF","QYSURS4Y2V577W36.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.08 per Node-hour for KdbNode:kx.s.16xlarge:RunClusterSingleAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","10.0800000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","64","432","USE1-KdbNode:kx.s.16xlarge","RunClusterSingleAz",,,"1AZ-kx.s.16xlarge","kx.s.16xlarge","us-east-1","Amazon FinSpace",,
"S8WHF8SKH7TV8MJK","JRTCKXETXF","S8WHF8SKH7TV8MJK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0264 per GB-month for KdbDatabase:changeset:DataStored in US East (N. Virginia)","2024-08-01","0","Inf","GB-month","0.0264000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-KdbDatabase:changeset","DataStored",,,,,"us-east-1","Amazon FinSpace","Changeset",
"SWQMQ9HSHV6G32FQ","JRTCKXETXF","SWQMQ9HSHV6G32FQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$150 per Month for StandardUser:UserEnabled in US East (N. Virginia)","2024-08-01","0","Inf","User-Mo","150.0000000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-StandardUser","UserEnabled",,,,,"us-east-1","Amazon FinSpace",,"Standard"
"T2WE83ZFDRS7GMWJ","JRTCKXETXF","T2WE83ZFDRS7GMWJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.041 per GB-month for 12 MB/s/TiB Volume HDD Volume in US East (N. Virginia)","2024-08-01","0","Inf","GB-month","0.0410000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-KdbVolume:kdbfilefs12","StorageProvisioned",,,,,"us-east-1","Amazon FinSpace","HDD 12 MB/s/TiB",
"T7BR5J64YJW6MDDZ","JRTCKXETXF","T7BR5J64YJW6MDDZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.041 per GB-month for KdbCluster:dbcache12:StorageProvisioned in US East (N. Virginia)","2024-08-01","0","Inf","GB-month","0.0410000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-KdbCluster:dbcache12","StorageProvisioned",,,,,"us-east-1","Amazon FinSpace","DBCache12",
"TCV3ME39MXK82N3U","JRTCKXETXF","TCV3ME39MXK82N3U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.63 USD per hour for kx.sg.xlarge in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","0.6300000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","4","27","USE1-KdbScalingGroupHost:kx.sg.xlarge","RunClusterSingleAz",,,"kx.sg.xlarge","kx.sg.xlarge","us-east-1","Amazon FinSpace",,
"TH7DMCMS74SSYUDE","JRTCKXETXF","TH7DMCMS74SSYUDE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.08 USD per hour for kx.sg.16xlarge in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","10.0800000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","64","432","USE1-KdbScalingGroupHost:kx.sg.16xlarge","RunClusterSingleAz",,,"kx.sg.16xlarge","kx.sg.16xlarge","us-east-1","Amazon FinSpace",,
"TRZXRBF6PEJ9A5SY","JRTCKXETXF","TRZXRBF6PEJ9A5SY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3328 per GB-month for KdbNode:savedownstorage:StorageProvisioned in US East (N. Virginia)","2024-08-01","0","Inf","GB-month","0.3328000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-KdbNode:savedownstorage","StorageProvisioned",,,,,"us-east-1","Amazon FinSpace","SaveDownStorage",
"TWDG8N2U5SB8TDK9","JRTCKXETXF","TWDG8N2U5SB8TDK9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.72 per GB-month for 1000 MB/s/TiB Volume SSD Volume in US East (N. Virginia)","2024-08-01","0","Inf","GB-month","0.7200000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-KdbVolume:kdbfilefs1000","StorageProvisioned",,,,,"us-east-1","Amazon FinSpace","SSD 1000 MB/s/TiB",
"U4G4QU2J5PS2Q4YJ","JRTCKXETXF","U4G4QU2J5PS2Q4YJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.63 per Node-hour for KdbNode:kx.s.xlarge:RunClusterSingleAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","0.6300000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","4","27","USE1-KdbNode:kx.s.xlarge","RunClusterSingleAz",,,"1AZ-kx.s.xlarge","kx.s.xlarge","us-east-1","Amazon FinSpace",,
"U5T74C67CNGUNUS9","JRTCKXETXF","U5T74C67CNGUNUS9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$20.16 USD per hour for kx.sg.32xlarge in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","20.1600000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","128","864","USE1-KdbScalingGroupHost:kx.sg.32xlarge","RunClusterSingleAz",,,"kx.sg.32xlarge","kx.sg.32xlarge","us-east-1","Amazon FinSpace",,
"UTP3YWDUKWUF7MXQ","JRTCKXETXF","UTP3YWDUKWUF7MXQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.52 per Node-hour for KdbNode:kx.s.4xlarge:RunClusterSingleAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","2.5200000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","16","108","USE1-KdbNode:kx.s.4xlarge","RunClusterSingleAz",,,"1AZ-kx.s.4xlarge","kx.s.4xlarge","us-east-1","Amazon FinSpace",,
"VAWC3R2G37CUYESF","JRTCKXETXF","VAWC3R2G37CUYESF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.26 per Node-hour for KdbNode:kx.s.2xlarge:RunClusterSingleAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","1.2600000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","8","54","USE1-KdbNode:kx.s.2xlarge","RunClusterSingleAz",,,"1AZ-kx.s.2xlarge","kx.s.2xlarge","us-east-1","Amazon FinSpace",,
"VEJDQ5XHKUN2FAVS","JRTCKXETXF","VEJDQ5XHKUN2FAVS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.318 USD per hour for kx.sg.large in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","0.3180000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","2","12","USE1-KdbScalingGroupHost:kx.sg.large","RunClusterSingleAz",,,"kx.sg.large","kx.sg.large","us-east-1","Amazon FinSpace",,
