"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-15T21:10:55Z"
"Version","20250415211055"
"OfferCode","AWSTransfer"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Connector Type","Data","Endpoint","Execution","Region Code","serviceName"
"PM56EXU73VCC54JW","JRTCKXETXF","PM56EXU73VCC54JW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3/hour for AS2:HTTP in US East (N. Virginia)","2025-04-01","0","Inf","Hourly","0.3000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-ProtocolHours","AS2-HTTP:S3",,"AS2-None","AS2-Hours",,"us-east-1","AWS Transfer Family"
"PWWPTBCTUEY6N6C3","JRTCKXETXF","PWWPTBCTUEY6N6C3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte downloaded over FTP from S3 in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DownloadBytes","FTP:S3",,"FTP-Download-Bytes","FTP-None",,"us-east-1","AWS Transfer Family"
"QNQYTN8GUQU9N6NB","JRTCKXETXF","QNQYTN8GUQU9N6NB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte downloaded over FTPS from S3 in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DownloadBytes","FTPS:S3",,"FTPS-Download-Bytes","FTPS-None",,"us-east-1","AWS Transfer Family"
"QXQNP3D8VSMYYEXW","JRTCKXETXF","QXQNP3D8VSMYYEXW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for PGP decryption in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.1000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DecryptBytes-PGP","FTPS:S3",,"PGP-Decrypt-S3","FTPS-Upload",,"us-east-1","AWS Transfer Family"
"RFAJEVKAA8EJ7F79","JRTCKXETXF","RFAJEVKAA8EJ7F79.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte downloaded over FTPS to EFS in US East (N.Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DownloadBytes","FTPS:EFS",,"FTPS-None","FTPS-None",,"us-east-1","AWS Transfer Family"
"RQQKXP6WU7YEJ3TR","JRTCKXETXF","RQQKXP6WU7YEJ3TR.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.001 USD per connector call for directory listing in US East (N. Virginia)","2025-04-01","0","Inf","Executions","0.0010000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnectorCall-StartDirectoryListing","SFTP:S3","SFTP connector","None",,"ConnectorCall-DirectoryListing","us-east-1","AWS Transfer Family"
"RRB23YMC2S3VZUTK","JRTCKXETXF","RRB23YMC2S3VZUTK.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.40 USD per GB sent over SFTP from S3 in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.4000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnector-SendBytes","SFTP:S3","SFTP connector","Send-Bytes",,"Data-Transfer","us-east-1","AWS Transfer Family"
"S4QWBADJUVNT5ZUY","JRTCKXETXF","S4QWBADJUVNT5ZUY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$.30 per hour - SFTP Endpoint fee","2025-04-01","0","Inf","Hourly","0.3000000000","USD","AWS Transfer for SFTP","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-ENDPOINT","",,"SFTP-DATA","SFTP-Endpoint",,"us-east-1","AWS Transfer Family"
"TFJQNB3XMZHE5NBB","JRTCKXETXF","TFJQNB3XMZHE5NBB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte uploaded over SFTP to S3 in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-UploadBytes","SFTP:S3",,"SFTP-Upload-Bytes","SFTP-NONE",,"us-east-1","AWS Transfer Family"
"TPQMZRCKMTSEQTJK","JRTCKXETXF","TPQMZRCKMTSEQTJK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3 per Hour for FTP in US East (N. Virginia)","2025-04-01","0","Inf","Hourly","0.3000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-ProtocolHours","FTP:EFS",,"FTP-None-EFS","FTP-Hours-EFS",,"us-east-1","AWS Transfer Family"
"U63RCB99E43TVH9P","JRTCKXETXF","U63RCB99E43TVH9P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte downloaded over SFTP from EFS in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DownloadBytes","SFTP:EFS",,"SFTP-Download-EFS","SFTP-None-EFS",,"us-east-1","AWS Transfer Family"
"UV8HWZDZSQTP2RRF","JRTCKXETXF","UV8HWZDZSQTP2RRF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte uploaded over FTPS to EFS in US East (N.Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-UploadBytes","FTPS:EFS",,"FTPS-Upload-EFS","FTPS-None-EFS",,"us-east-1","AWS Transfer Family"
"UVSB434EBQ6V9SAN","JRTCKXETXF","UVSB434EBQ6V9SAN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.001 per connector call for ConnectorCall-RemoteDelete in US East (N. Virginia)","2025-04-01","0","Inf","Executions","0.0010000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnectorCall-StartRemoteDelete","SFTP:S3","SFTP connector","None",,"ConnectorCall-RemoteDelete","us-east-1","AWS Transfer Family"
"V6DHVTTJUMUFAAHR","JRTCKXETXF","V6DHVTTJUMUFAAHR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.001 per connector call for ConnectorCall-RemoteMove in US East (N. Virginia)","2025-04-01","0","Inf","Executions","0.0010000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnectorCall-StartRemoteMove","SFTP:S3","SFTP connector","None",,"ConnectorCall-RemoteMove","us-east-1","AWS Transfer Family"
"WW8YX4VCS2TBDRDT","JRTCKXETXF","WW8YX4VCS2TBDRDT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 50 MB chunk for receiving large messages over AS2-HTTP to S3 in US East (N. Virginia)","2025-04-01","0","Inf","Message","0.0100000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-InboundLargeMessages","AS2-HTTP:S3",,"AS2-Inbound-Large-Messages","AS2-None",,"us-east-1","AWS Transfer Family"
"XSG9BXMKKN9VCC5R","JRTCKXETXF","XSG9BXMKKN9VCC5R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3 per Hour for FTP in US East (N. Virginia)","2025-04-01","0","Inf","Hourly","0.3000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-ProtocolHours","FTP:S3",,"FTP-None","FTP-Protocol-Hours",,"us-east-1","AWS Transfer Family"
"XXKP8KZPMKJF7ZXF","JRTCKXETXF","XXKP8KZPMKJF7ZXF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3 per Hour for SFTP in US East (N. Virginia)","2025-04-01","0","Inf","Hourly","0.3000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-ProtocolHours","SFTP:EFS",,"SFTP-None-EFS","SFTP-Hours-EFS",,"us-east-1","AWS Transfer Family"
"Y9N6Z7B9Y3EK8M3T","JRTCKXETXF","Y9N6Z7B9Y3EK8M3T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3 per Hour for FTPS in US East (N. Virginia)","2025-04-01","0","Inf","Hourly","0.3000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-ProtocolHours","FTPS:S3",,"FTPS-None","FTPS-Protocol-Hours",,"us-east-1","AWS Transfer Family"
"Z4R5F9HEKPANUD8J","JRTCKXETXF","Z4R5F9HEKPANUD8J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01/message for sending messages over AS2-HTTP from S3 in US East (N. Virginia)","2025-04-01","0","Inf","Message","0.0100000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-OutboundMessages","AS2-HTTP:S3",,"AS2-Outbound-Messages","AS2-None",,"us-east-1","AWS Transfer Family"
