"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-18T19:05:44Z"
"Version","20250318190544"
"OfferCode","AmazonSNS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Endpoint Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"G6C9JM3PZ27SVPEV","JRTCKXETXF","G6C9JM3PZ27SVPEV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Apple Push Notification Service (APNS) Sandbox - iOS",,,"DeliveryAttempts-APNS_SB","","us-east-1","Amazon Simple Notification Service"
"GXS664ADCBPVT6BA","JRTCKXETXF","GXS664ADCBPVT6BA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3 per 1,000,000 SNS FIFO Publish API Requests in US East (N. Virginia)","2025-03-01","0","Inf","Requests","0.0000003000","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-FIFO-Requests","Amazon SNS FIFO API Requests","F-Request-Tier1","","us-east-1","Amazon Simple Notification Service"
"HADXDENCA9TZ34BW","JRTCKXETXF","HADXDENCA9TZ34BW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.08 per GB of SNS Message Scanning in US East (N. Virginia)","2025-03-01","0","Inf","GB","0.0800000000","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-MDP-Scanning","Amazon SNS Message Scanning","USE1-MDP-Scanning","","us-east-1","Amazon Simple Notification Service"
"JFU6C95UUVQHQSWR","JRTCKXETXF","JFU6C95UUVQHQSWR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.023 per GB / Month of SNS FIFO Topics Storage in US East (N. Virginia)","2025-03-01","0","Inf","GB-month","0.0230000000","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-FIFO-Storage","Amazon SNS FIFO Topics Storage","USE1-F-Storage","","us-east-1","Amazon Simple Notification Service"
"KXMN9QG243P7DWRR","JRTCKXETXF","KXMN9QG243P7DWRR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Baidu Cloud Push (Baidu)",,,"DeliveryAttempts-BAIDU","","us-east-1","Amazon Simple Notification Service"
"MH82JMYFVMY4KHTJ","A429C66SYZ","MH82JMYFVMY4KHTJ.A429C66SYZ.SB2VSFF4TP","OnDemand","First 1,000,000 Mobile Push Notifications per month are free","2025-03-01","0","1000000","Notifications","0.0000000000","USD",,"Bundle","AmazonSNS",,,,,"SNS-MonthlyFree-Notifications","Monthly free usage of Amazon SNS requests","Notifications-Mobile","",,"Amazon Simple Notification Service"
"NE8PTK9XSRPVKD2Q","JRTCKXETXF","NE8PTK9XSRPVKD2Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Apple Passbook Sandbox",,,"DeliveryAttempts-AP_PB_SB","","us-east-1","Amazon Simple Notification Service"
"PZKWMK7N3J96FDVN","JRTCKXETXF","PZKWMK7N3J96FDVN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Apple Push Notification Service (APNS) Sandbox - Mac OS",,,"DeliveryAttempts-MACOS_SB","","us-east-1","Amazon Simple Notification Service"
"Q23C5K562MP58KRF","JRTCKXETXF","Q23C5K562MP58KRF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Google Cloud Messaging for Android (GCM)",,,"DeliveryAttempts-GCM","","us-east-1","Amazon Simple Notification Service"
"QDX8G2WMY9NPXXPG","JRTCKXETXF","QDX8G2WMY9NPXXPG.JRTCKXETXF.SB2VSFF4TP","OnDemand","First 1,000,000 Amazon SNS API Requests per month are free","2025-03-01","0","1000000","Requests","0.0000000000","USD",,"API Request","AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-Requests-Tier1","Amazon SNS API Requests","Requests-Tier1","","us-east-1","Amazon Simple Notification Service"
"QDX8G2WMY9NPXXPG","JRTCKXETXF","QDX8G2WMY9NPXXPG.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.50 per 1,000,000 Amazon SNS API Requests per month thereafter","2025-03-01","1000000","Inf","Requests","0.0000005000","USD",,"API Request","AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-Requests-Tier1","Amazon SNS API Requests","Requests-Tier1","","us-east-1","Amazon Simple Notification Service"
"RN6V7ZMAAKU36Y77","JRTCKXETXF","RN6V7ZMAAKU36Y77.JRTCKXETXF.6YS6EN2CT7","OnDemand","There is no charge for SQS Notifications","2025-03-01","0","Inf","Notifications","0.0000000000","USD",,"Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Amazon SQS",,,"DeliveryAttempts-SQS","","us-east-1","Amazon Simple Notification Service"
"TZEC9JEDUHUR523U","JRTCKXETXF","TZEC9JEDUHUR523U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.19 per 1,000,000 SNS to Kinesis Firehose messages in US East (N. Virginia)","2025-03-01","0","Inf","Messages","0.0000001900","USD",,"Message Delivery","AmazonSNS",,"US East (N. Virginia)","AWS Region","Amazon Kinesis Data Firehose",,,"DeliveryAttempts-FIREHOSE","","us-east-1","Amazon Simple Notification Service"
"UT4GBPVG592AUZEM","JRTCKXETXF","UT4GBPVG592AUZEM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Amazon Device Messaging (ADM)",,,"DeliveryAttempts-ADM","","us-east-1","Amazon Simple Notification Service"
