"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T03:19:38Z"
"Version","20250521031938"
"OfferCode","AWSBackup"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","To Location","To Location Type","usageType","operation","Backup Evaluations","Backup_Service","IndexType","Region Code","SearchType","serviceName","Storage Type","StorageType","To Region Code","VaultType"
"2PEFNKWN84M2C29M","JRTCKXETXF","2PEFNKWN84M2C29M.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for cross-Region backup data transfer for S3 to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","EU (Paris)","AWS Region","US East (N. Virginia)","AWS Region","EUW3-USE1-CrossRegion-WarmBytes-S3","DataTransfer",,"S3",,"eu-west-3",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
"2QAKA3SHJHBB5VMQ","JRTCKXETXF","2QAKA3SHJHBB5VMQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for EBS to Europe (Zurich)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Europe (Zurich)","AWS Region","USE1-EUC2-CrossRegion-WarmBytes-EBS","DataTransfer",,"EBS",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"eu-central-2","LAGVault"
"2QJ4RABTPHPKFBSW","JRTCKXETXF","2QJ4RABTPHPKFBSW.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.04 per GB for cross-Region backup data transfer for EFS to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0400000000","USD","AWS Backup Storage","AWSBackup","EU (Stockholm)","AWS Region","US East (N. Virginia)","AWS Region","EUN1-USE1-CrossRegion-WarmBytes-EFS","DataTransfer",,"EFS",,"eu-north-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
"2SBUPQC2KMVCB2HE","JRTCKXETXF","2SBUPQC2KMVCB2HE.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for FSx to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","EU (Stockholm)","AWS Region","US East (N. Virginia)","AWS Region","EUN1-USE1-CrossRegion-WarmBytes-FSx","DataTransfer",,"FSx",,"eu-north-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","LAGVault"
"2T6YPKJRCARCGMC6","JRTCKXETXF","2T6YPKJRCARCGMC6.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for EBS to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","Europe (Zurich)","AWS Region","US East (N. Virginia)","AWS Region","EUC2-USE1-CrossRegion-WarmBytes-EBS","DataTransfer",,"EBS",,"eu-central-2",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","LAGVault"
"2UAZASP9KNNU49MD","JRTCKXETXF","2UAZASP9KNNU49MD.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for EBS to Asia Pacific (Melbourne)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Asia Pacific (Melbourne)","AWS Region","USE1-APS6-CrossRegion-WarmBytes-EBS","DataTransfer",,"EBS",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"ap-southeast-4","LAGVault"
"2UVTD75TCSCQYPQC","JRTCKXETXF","2UVTD75TCSCQYPQC.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.0575 per GB-month for warm backup storage in logically air-gapped vault for FSx-Windows","2025-05-01","0","Inf","GB-month","0.0575000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region",,,"USE1-WarmStorage-ByteHrs-FSx-Windows-LAGV","Storage",,"FSx-Windows",,"us-east-1",,"AWS Backup",,"Warm",,"LAGVault"
"2WBGADUTWEQ2GKNG","JRTCKXETXF","2WBGADUTWEQ2GKNG.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for DocumentDB to Asia Pacific (Hong Kong)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Asia Pacific (Hong Kong)","AWS Region","USE1-APE1-CrossRegion-WarmBytes-DocumentDB","DataTransfer",,"DocumentDB",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"ap-east-1","LAGVault"
"2YDUB2EVT3H4SFWG","JRTCKXETXF","2YDUB2EVT3H4SFWG.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.04 per GB for cross-Region backup data transfer for Timestream to South America (Sao Paulo)","2025-05-01","0","Inf","GB","0.0400000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","South America (Sao Paulo)","AWS Region","USE1-SAE1-CrossRegion-WarmBytes-Timestream","DataTransfer",,"Timestream",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"sa-east-1","BackupVault"
"2Z7RSPXAXYVXGMD6","JRTCKXETXF","2Z7RSPXAXYVXGMD6.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for EBS to Asia Pacific (Seoul)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Asia Pacific (Seoul)","AWS Region","USE1-APN2-CrossRegion-WarmBytes-EBS","DataTransfer",,"EBS",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"ap-northeast-2","LAGVault"
"2ZVK5T33CYANBHDC","JRTCKXETXF","2ZVK5T33CYANBHDC.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for Aurora to EU (Stockholm)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","EU (Stockholm)","AWS Region","USE1-EUN1-CrossRegion-WarmBytes-Aurora","DataTransfer",,"Aurora",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"eu-north-1","LAGVault"
"33BFC8MJBB63V2PY","JRTCKXETXF","33BFC8MJBB63V2PY.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.0575 per GB-month for warm backup storage in logically air-gapped vault for FSx-Lustre","2025-05-01","0","Inf","GB-month","0.0575000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region",,,"USE1-WarmStorage-ByteHrs-FSx-Lustre-LAGV","Storage",,"FSx-Lustre",,"us-east-1",,"AWS Backup",,"Warm",,"LAGVault"
"349UTNNRBSR4PGKX","JRTCKXETXF","349UTNNRBSR4PGKX.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for Neptune to Asia Pacific (Mumbai)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Asia Pacific (Mumbai)","AWS Region","USE1-APS3-CrossRegion-WarmBytes-Neptune","DataTransfer",,"Neptune",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"ap-south-1","LAGVault"
"35ETSBTFUZDNW94Q","JRTCKXETXF","35ETSBTFUZDNW94Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for cross-Region backup data transfer for S3 to EU (Ireland)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","EU (Ireland)","AWS Region","USE1-EU-CrossRegion-WarmBytes-S3","DataTransfer",,"S3",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"eu-west-1","BackupVault"
"35SUQVR9ZVV396RM","JRTCKXETXF","35SUQVR9ZVV396RM.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for StorageGateway to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","EU (Milan)","AWS Region","US East (N. Virginia)","AWS Region","EUS1-USE1-CrossRegion-WarmBytes-StorageGateway","DataTransfer",,"Storage Gateway",,"eu-south-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","LAGVault"
"35VA7VNP8TAPH2D4","JRTCKXETXF","35VA7VNP8TAPH2D4.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for DocumentDB to Israel (Tel Aviv)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Israel (Tel Aviv)","AWS Region","USE1-ILC1-CrossRegion-WarmBytes-DocumentDB","DataTransfer",,"DocumentDB",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"il-central-1","LAGVault"
"36U8FPFKXGAB96EC","JRTCKXETXF","36U8FPFKXGAB96EC.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.04 per GB for cross-Region backup data transfer for VirtualMachine to EU (Ireland)","2025-05-01","0","Inf","GB","0.0400000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","EU (Ireland)","AWS Region","USE1-EU-CrossRegion-WarmBytes-VirtualMachine","DataTransfer",,"VMware",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"eu-west-1","BackupVault"
"38K6VBAFEK8C2H65","JRTCKXETXF","38K6VBAFEK8C2H65.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.04 per GB for cross-Region backup data transfer for VirtualMachine to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0400000000","USD","AWS Backup Storage","AWSBackup","US West (Oregon)","AWS Region","US East (N. Virginia)","AWS Region","USW2-USE1-CrossRegion-WarmBytes-VirtualMachine","DataTransfer",,"VMware",,"us-west-2",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
"3AS6842F7Y5NWH3N","JRTCKXETXF","3AS6842F7Y5NWH3N.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.04 per GB for cross-Region backup data transfer for Timestream to AWS GovCloud (US-East)","2025-05-01","0","Inf","GB","0.0400000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","AWS GovCloud (US-East)","AWS Region","USE1-UGE1-CrossRegion-WarmBytes-Timestream","DataTransfer",,"Timestream",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-gov-east-1","BackupVault"
"3H5S97F58V24UZ3M","JRTCKXETXF","3H5S97F58V24UZ3M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.5 per partial restore request for VMware","2025-05-01","0","Inf","Requests","0.5000000000","USD","AWS Backup Restore Data Size","AWSBackup","US East (N. Virginia)","AWS Region",,,"USE1-PartialRestore-Jobs-VirtualMachine","RestoreRecoveryPoint",,"VMware",,"us-east-1",,"AWS Backup",,"Jobs",,"BackupVault"
"3H67JSERDCFJV27U","JRTCKXETXF","3H67JSERDCFJV27U.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.01 per GB for data transfer from logically air-gapped vault for StorageGateway to US East (Ohio)","2025-05-01","0","Inf","GB","0.0100000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","US East (Ohio)","AWS Region","USE1-USE2-CrossRegion-WarmBytes-StorageGateway","DataTransfer",,"Storage Gateway",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-2","LAGVault"
"3M3V8TZRF88WZARJ","JRTCKXETXF","3M3V8TZRF88WZARJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for StorageGateway to Asia Pacific (Melbourne)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Asia Pacific (Melbourne)","AWS Region","USE1-APS6-CrossRegion-WarmBytes-StorageGateway","DataTransfer",,"Storage Gateway",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"ap-southeast-4","LAGVault"
"3MTQEWWFAFZENT6W","JRTCKXETXF","3MTQEWWFAFZENT6W.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.04 per GB for cross-Region backup data transfer for Timestream to EU (Milan)","2025-05-01","0","Inf","GB","0.0400000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","EU (Milan)","AWS Region","USE1-EUS1-CrossRegion-WarmBytes-Timestream","DataTransfer",,"Timestream",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"eu-south-1","BackupVault"
"3NTRP55EDSDRY8YC","JRTCKXETXF","3NTRP55EDSDRY8YC.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.106 per GB for cross-Region backup data transfer for Timestream to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.1060000000","USD","AWS Backup Storage","AWSBackup","Asia Pacific (Mumbai)","AWS Region","US East (N. Virginia)","AWS Region","APS3-USE1-CrossRegion-WarmBytes-Timestream","DataTransfer",,"Timestream",,"ap-south-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
"3P6YDC2D9QEZJFEH","JRTCKXETXF","3P6YDC2D9QEZJFEH.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for Aurora to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US West (Oregon)","AWS Region","US East (N. Virginia)","AWS Region","USW2-USE1-CrossRegion-WarmBytes-Aurora","DataTransfer",,"Aurora",,"us-west-2",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","LAGVault"
