"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-09-06T17:25:11Z"
"Version","20220906172511"
"OfferCode","AmazonDevOpsGuru"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","API Calls","Region Code","Resource Price Group","serviceName"
"CYNB6TN77JGXWCPY","JRTCKXETXF","CYNB6TN77JGXWCPY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-Kinesis-Stream-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-Kinesis-Stream-GroupB","",,"us-east-1","Kinesis-Stream-GroupB","Amazon DevOps Guru"
"DCX4YY66WJZ7Y6PF","JRTCKXETXF","DCX4YY66WJZ7Y6PF.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-CloudFront-Distribution-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","CloudFront-Distribution-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"DDHYNJBX29K7J9D7","JRTCKXETXF","DDHYNJBX29K7J9D7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-Route53-HostedZone-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-Route53-HostedZone-GroupB","",,"us-east-1","Route 53-HostedZone-GroupB","Amazon DevOps Guru"
"DRYJ8RBS4Z5RVQGU","JRTCKXETXF","DRYJ8RBS4Z5RVQGU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-SWF-Workflow-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-SWF-Workflow-GroupB","",,"us-east-1","SWF-Workflow-GroupB","Amazon DevOps Guru"
"EDV9ZP44AFJWFPDP","JRTCKXETXF","EDV9ZP44AFJWFPDP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ElasticBeanstalk-Environment-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","Elastic Beanstalk-Environment-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"FGW7543W4KK6DH3Q","JRTCKXETXF","FGW7543W4KK6DH3Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-SWF-Task-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","SWF-Task-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"G5ABKY78DJZ7RAZA","JRTCKXETXF","G5ABKY78DJZ7RAZA.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-Kinesis-Stream-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","Kinesis-Stream-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"GTRCSWMUVBSCN7CS","JRTCKXETXF","GTRCSWMUVBSCN7CS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-SNS-Topic-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-SNS-Topic-GroupB","",,"us-east-1","SNS-Topic-GroupB","Amazon DevOps Guru"
"HVTUAV7CPSV8BCUY","JRTCKXETXF","HVTUAV7CPSV8BCUY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-ElastiCache-Node-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ElastiCache-Node-GroupB","",,"us-east-1","ElastiCache-Node-GroupB","Amazon DevOps Guru"
"HYQUYGJ7M2BT5X27","JRTCKXETXF","HYQUYGJ7M2BT5X27.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for DevOps Guru API Calls","2022-09-01","0","Inf","API Calls","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-DevOpsGuru-API-Calls-ZeroTier","","API-Calls-ZeroTier","us-east-1",,"Amazon DevOps Guru"
