"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-16T18:45:58Z"
"Version","20250516184558"
"OfferCode","AmazonDeadline"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","vCPU","Memory","Operating System","usageType","operation","Instance","Licensed Product","Region Code","serviceName","Worker Location"
"42S5TWFJZG7KARNE","JRTCKXETXF","42S5TWFJZG7KARNE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$15.240768 per On Demand Windows g6e.12xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","15.2407680000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","g6e.12xlarge","GPU instance",,,"Windows","BoxUsage:g6e.12xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"43TPA8TV7MABJCJF","JRTCKXETXF","43TPA8TV7MABJCJF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1512 per On Demand Linux r6i.large instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.1512000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r6i.large",,"2","16 GiB","Linux","BoxUsage:r6i.large","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"45U3QRB5HGU49MW7","JRTCKXETXF","45U3QRB5HGU49MW7.JRTCKXETXF.GP5CRKF5ER","OnDemand","$0.1875 per license hour for first 600 hours of Karma in US East (N. Virginia)","2025-05-01","0","600","Hrs","0.1875000000","USD","Fee","AmazonDeadline","US East (N. Virginia)","AWS Region",,,,,,"License-hours:Karma","LicenseCheckout",,"Karma","us-east-1","Amazon Deadline Cloud",
"45U3QRB5HGU49MW7","JRTCKXETXF","45U3QRB5HGU49MW7.JRTCKXETXF.UG23WARB5Z","OnDemand","$0.15 per license hour for 600 to 1500 hours of Karma in US East (N. Virginia)","2025-05-01","600","1500","Hrs","0.1500000000","USD","Fee","AmazonDeadline","US East (N. Virginia)","AWS Region",,,,,,"License-hours:Karma","LicenseCheckout",,"Karma","us-east-1","Amazon Deadline Cloud",
"45U3QRB5HGU49MW7","JRTCKXETXF","45U3QRB5HGU49MW7.JRTCKXETXF.PWQ3TWECGS","OnDemand","$0.06625 per license hour for 1500 to 9300 hours of Karma in US East (N. Virginia)","2025-05-01","1500","9300","Hrs","0.0662500000","USD","Fee","AmazonDeadline","US East (N. Virginia)","AWS Region",,,,,,"License-hours:Karma","LicenseCheckout",,"Karma","us-east-1","Amazon Deadline Cloud",
"45U3QRB5HGU49MW7","JRTCKXETXF","45U3QRB5HGU49MW7.JRTCKXETXF.4GC7QXVC3B","OnDemand","$0.05375 per license hour for 9300 to 92000 hours of Karma in US East (N. Virginia)","2025-05-01","9300","92000","Hrs","0.0537500000","USD","Fee","AmazonDeadline","US East (N. Virginia)","AWS Region",,,,,,"License-hours:Karma","LicenseCheckout",,"Karma","us-east-1","Amazon Deadline Cloud",
"45U3QRB5HGU49MW7","JRTCKXETXF","45U3QRB5HGU49MW7.JRTCKXETXF.NNYVMYBU4X","OnDemand","$0.0375 per license hour for 92000 to 200000 hours of Karma in US East (N. Virginia)","2025-05-01","92000","200000","Hrs","0.0375000000","USD","Fee","AmazonDeadline","US East (N. Virginia)","AWS Region",,,,,,"License-hours:Karma","LicenseCheckout",,"Karma","us-east-1","Amazon Deadline Cloud",
"45U3QRB5HGU49MW7","JRTCKXETXF","45U3QRB5HGU49MW7.JRTCKXETXF.G6YXN6W4MD","OnDemand","$0.0325 per license hour for 200000 to 800000 hours of Karma in US East (N. Virginia)","2025-05-01","200000","800000","Hrs","0.0325000000","USD","Fee","AmazonDeadline","US East (N. Virginia)","AWS Region",,,,,,"License-hours:Karma","LicenseCheckout",,"Karma","us-east-1","Amazon Deadline Cloud",
"45U3QRB5HGU49MW7","JRTCKXETXF","45U3QRB5HGU49MW7.JRTCKXETXF.5GKRTFY6VP","OnDemand","$0.02125 per license hour for 800000 to 2000000 hours of Karma in US East (N. Virginia)","2025-05-01","800000","2000000","Hrs","0.0212500000","USD","Fee","AmazonDeadline","US East (N. Virginia)","AWS Region",,,,,,"License-hours:Karma","LicenseCheckout",,"Karma","us-east-1","Amazon Deadline Cloud",
"45U3QRB5HGU49MW7","JRTCKXETXF","45U3QRB5HGU49MW7.JRTCKXETXF.P4Q5N7JGZN","OnDemand","$0.0125 per license hour for 2000000 to 4000000 hours of Karma in US East (N. Virginia)","2025-05-01","2000000","4000000","Hrs","0.0125000000","USD","Fee","AmazonDeadline","US East (N. Virginia)","AWS Region",,,,,,"License-hours:Karma","LicenseCheckout",,"Karma","us-east-1","Amazon Deadline Cloud",
"45U3QRB5HGU49MW7","JRTCKXETXF","45U3QRB5HGU49MW7.JRTCKXETXF.6J29JM2CA3","OnDemand","$0.0075 per license hour for more than 4000000 hours of Karma in US East (N. Virginia)","2025-05-01","4000000","Inf","Hrs","0.0075000000","USD","Fee","AmazonDeadline","US East (N. Virginia)","AWS Region",,,,,,"License-hours:Karma","LicenseCheckout",,"Karma","us-east-1","Amazon Deadline Cloud",
"47FCBGFK4H8Z4CRF","JRTCKXETXF","47FCBGFK4H8Z4CRF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.5296 per On Demand Linux m6i.24xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","5.5296000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m6i.24xlarge",,"96","384 GiB","Linux","BoxUsage:m6i.24xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"48DJEKQC8K5549CB","JRTCKXETXF","48DJEKQC8K5549CB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.605088 per On Demand Linux g6e.4xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","3.6050880000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","g6e.4xlarge","GPU instance",,,"Linux","BoxUsage:g6e.4xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"49NT5UTX6TBPWWXS","JRTCKXETXF","49NT5UTX6TBPWWXS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.96 per On Demand Windows c5n.2xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.9600000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c5n.2xlarge",,"8","21 GiB","Windows","BoxUsage:c5n.2xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"4C2V28DWGBQWR6MD","JRTCKXETXF","4C2V28DWGBQWR6MD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.6656 per On Demand Linux c5n.metal instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","4.6656000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c5n.metal",,"72","192 GiB","Linux","BoxUsage:c5n.metal","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"4DFH8JJRNVDZWVWH","JRTCKXETXF","4DFH8JJRNVDZWVWH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.816 per On Demand Linux c5.4xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.8160000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c5.4xlarge",,"16","32 GiB","Linux","BoxUsage:c5.4xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"4EVFTT73BP57X5FH","JRTCKXETXF","4EVFTT73BP57X5FH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$13.388544 per On Demand Linux r6in.32xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","13.3885440000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r6in.32xlarge",,"128","1024 GiB","Linux","BoxUsage:r6in.32xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"4FJAFTKHVJ7AGBHG","JRTCKXETXF","4FJAFTKHVJ7AGBHG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.5424 per On Demand Linux r5a.2xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.5424000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r5a.2xlarge",,"8","64 GiB","Linux","BoxUsage:r5a.2xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"4G594JQG5792Q8AJ","JRTCKXETXF","4G594JQG5792Q8AJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.70912 per On Demand Linux c6in.32xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","8.7091200000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c6in.32xlarge",,"128","256 GiB","Linux","BoxUsage:c6in.32xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
