"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-29T17:49:36Z"
"Version","20250429174936"
"OfferCode","AmazonNeptune"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Physical Processor","Clock Speed","Memory","Storage","Network Performance","Processor Architecture","Storage Media","Volume Type","Min Volume Size","Max Volume Size","Engine Code","Database Engine","License Model","Deployment Option","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Dedicated EBS Throughput","Enhanced Networking Supported","From Region Code","m-NCU","Normalization Size Factor","Pricing Unit","Processor Features","Region Code","serviceName","To Region Code"
"5CTJMDDARBZW5VS6","JRTCKXETXF","5CTJMDDARBZW5VS6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.021 per GB / month (Memory Optimized Graph) in us-east-1","2025-03-01","0","Inf","GB-Mo","0.0210000000","USD","Storage Snapshot","AmazonNeptune","US East (N. Virginia)","AWS Region",,,,,,,,,,,"MemoryOptimizedGraphSnaphot",,,,,,,,,,,,,,,"USE1-GraphSnapshot","CreateGraphSnapshot",,,,,,,,"us-east-1","Amazon Neptune",
"5FVYTJ5VZ4427DMN","JRTCKXETXF","5FVYTJ5VZ4427DMN.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD22.55 per Hrs for InstanceUsageIOOptimized:db.r7i.24xl:CreateDBInstance:0022 in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","22.5500000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r7i.24xlarge","Yes","Memory optimized","96","Intel Xeon E5-2686 v4 (Broadwell)",,"768 GiB","EBS Only","37.5 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.r7i.24xl","CreateDBInstance:0022",,,,,"259.2",,,"us-east-1","Amazon Neptune",
"5HUBFBNR7SDD4R3N","JRTCKXETXF","5HUBFBNR7SDD4R3N.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD6.633 per Hrs for InstanceUsage:db.r7g.12xl:CreateDBInstance:0022 in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","6.6330000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r7g.12xlarge","Yes","Memory optimized","48","AWS Graviton3",,"384 GiB","EBS Only","22.5","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r7g.12xl","CreateDBInstance:0022",,,,,"96",,,"us-east-1","Amazon Neptune",
"5NQ9ZUQVP2QKEP52","JRTCKXETXF","5NQ9ZUQVP2QKEP52.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 17.728 per instance hours (or partial hour) for InstanceUsageIOOptimized in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","17.7280000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.x2gd.12xlarge","Yes","Memory optimized","48","AWS Graviton2",,"768 GiB","2 x 1425 NVMe SSD","20 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.x2gd.12xl","CreateDBInstance:0022",,,,,"129.6",,,"us-east-1","Amazon Neptune",
"5QXU6A8EFSN73Q4W","JRTCKXETXF","5QXU6A8EFSN73Q4W.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 30.067 per instance hours (or partial hour) for InstanceUsageIOOptimized in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","30.0670000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r6i.32xlarge","Yes","Memory optimized","128","Intel Xeon Family",,"1024 GiB","EBS Only","50 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.r6i.32xl","CreateDBInstance:0022",,,,,"345.6",,,"us-east-1","Amazon Neptune",
"5RF3K6D34CJFBFP3","JRTCKXETXF","5RF3K6D34CJFBFP3.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.125 per instance hours (or partial hour) for InstanceUsageIOOptimized in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","0.1250000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.t4g.medium","Yes","General purpose","2","AWS Graviton2",,"4 GiB","EBS Only","Up to 5 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.t4g.medium","CreateDBInstance:0022",,,,,"2.7",,,"us-east-1","Amazon Neptune",
"5ZM5VY7KDDQNFDB4","JRTCKXETXF","5ZM5VY7KDDQNFDB4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.84 per Hrs for MemoryOptimizedGraphUsage:128-m-NCU in us-east-1","2025-03-01","0","Inf","Hrs","3.8400000000","USD","Neptune Memory Optimized Graph","AmazonNeptune","US East (N. Virginia)","AWS Region","r6i.16xlarge",,,,,,,,,,,,,,,,,,,,,,,,,"USE1-MemoryOptimizedGraphUsage:128-m-NCU","CreateGraph",,,,"128",,,,"us-east-1","Amazon Neptune",
"67SSEEJ2J39TT3UY","JRTCKXETXF","67SSEEJ2J39TT3UY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per GB of Data Transfer from US West (Oregon) to US East (N. Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AmazonNeptune",,,,,,,,,,,,,,,,,,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","US East (N. Virginia)","AWS Region","USW2-USE1-AWS-In-Bytes","",,,"us-west-2",,,,,,"Amazon Neptune","us-east-1"
"6B6AQ5HQKPCUNAQ7","JRTCKXETXF","6B6AQ5HQKPCUNAQ7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.568 per instance hour (or partial hour) running Amazon Neptune","2025-03-01","0","Inf","Hrs","5.5680000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r4.8xlarge","Yes","Memory optimized","32","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","244 GiB","EBS Only","10 Gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r4.8xlarge","CreateDBInstance:0022","6000 Mbps","Yes",,,"16",,"Intel AVX, Intel AVX2, Intel Turbo","us-east-1","Amazon Neptune",
"6FBZ7WXQUS2MFN24","JRTCKXETXF","6FBZ7WXQUS2MFN24.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 17.728 per instance hours (or partial hour) for InstanceUsageIOOptimized in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","17.7280000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.x2g.12xlarge","Yes","Memory optimized","48","AWS Graviton2",,"768 GiB","2 x 1425 NVMe SSD","20 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.x2g.12xlarge","CreateDBInstance:0022",,,,,"129.6",,,"us-east-1","Amazon Neptune",
