"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-06T19:30:35Z"
"Version","20250506193035"
"OfferCode","AmazonAppStream"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","vCPU","Operating System","License Model","usageType","operation","Instance Function","Memory (GiB)","Multi Session","OS License Model","Region Code","serviceName","Video Memory (GiB)"
"5PGYE5NV8V6KWH7W","JRTCKXETXF","5PGYE5NV8V6KWH7W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.107 per hour for a Linux stream.graphics.g4dn.4xlarge ImageBuilder instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","2.1070000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.4xlarge","Graphics","16","Amazon Linux",,"USE1-stream.graphics.g4dn.4xlarge-al-ib","Streaming:001","ImageBuilder","64",,"None","us-east-1","Amazon AppStream","16"
"5Q6777F9Z2HUJZ9P","JRTCKXETXF","5Q6777F9Z2HUJZ9P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.844 per hour for a Linux stream.graphics.g4dn.xlarge Fleet instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.8440000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.xlarge","Graphics","4","Amazon Linux",,"USE1-stream.graphics.g4dn.xlarge-al-fl","Streaming:001","Fleet","16",,"None","us-east-1","Amazon AppStream","16"
"5VQTCYCAX46QXQC6","JRTCKXETXF","5VQTCYCAX46QXQC6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.172 per hour for a Linux stream.compute.large Fleet instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.1720000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.large","Compute optimized","2","Amazon Linux",,"USE1-stream.compute.large-al-fl","Streaming:001","Fleet","3.75",,"None","us-east-1","Amazon AppStream","N/A"
"5Y5W9VN7R5PY5GNV","JRTCKXETXF","5Y5W9VN7R5PY5GNV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.73 per hour for Multi-Session Fleet-stream.graphics.g4dn.4xlarge in US East (N. Virginia) ","2025-04-01","0","Inf","hour","2.7300000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.4xlarge",,"16","Windows",,"USE1-stream.graphics.g4dn.4xlarge-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","16"
"5YGTGU8TV7G6J37U","JRTCKXETXF","5YGTGU8TV7G6J37U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per hour for running a stream.graphics-design.2xlarge Fleet instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","1.0000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics-design.2xlarge","Graphics Design","8","Windows",,"USE1-graphics-design.2xlarge-fl","Streaming:001","Fleet","30.5",,"License Included","us-east-1","Amazon AppStream","4"
"63RZ9TA3RKZ2YW3B","JRTCKXETXF","63RZ9TA3RKZ2YW3B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.4 per hour for a Windows stream.standard.xlarge Multi-Session Fleet instance in US East (N. Virginia) ","2025-04-01","0","Inf","hour","0.4000000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.xlarge",,"4","Windows",,"USE1-stream.standard.xlarge-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","N/A"
"65P3953SSE629P5T","JRTCKXETXF","65P3953SSE629P5T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.79 per hour for a Linux stream.graphics.g5.4xlarge Image Builder instance in US East (N. Virginia)","2025-04-01","0","Inf","hour","2.7900000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.4xlarge","Graphics G5","16","Amazon Linux",,"USE1-stream.graphics.g5.4xlarge-al-ib","Streaming:001","ImageBuilder","64",,"None","us-east-1","Amazon AppStream","24"
"68XFTJJC7WMN6MSE","JRTCKXETXF","68XFTJJC7WMN6MSE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.057 per hour for Rocky Linux Fleet Instance stream.graphics.g5.2xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","2.0580000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.2xlarge","Graphics G5","8","Rocky Linux",,"USE1-stream.graphics.g5.2xlarge-rl-fl","Streaming:001","Fleet","32","false","License Included","us-east-1","Amazon AppStream","24"
"693ARUFSD46VQWV6","JRTCKXETXF","693ARUFSD46VQWV6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.43 per hour for ImageBuilder-stream.graphics.g5.8xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","6.4300000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.8xlarge","Graphics G5","32","Windows",,"USE1-stream.graphics.g5.8xlarge-ib","Streaming:001","ImageBuilder","128",,"License Included","us-east-1","Amazon AppStream","24"
"69DGR6KAC97KM33G","JRTCKXETXF","69DGR6KAC97KM33G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.195 per hour for Red Hat Enterprise Linux ImageBuilder stream.standard.large in US East (N. Virginia)","2025-04-01","0","Inf","hour","0.1950000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.large","General purpose","2","Red Hat Enterprise Linux",,"USE1-stream.standard.large-rh-ib","Streaming:001","ImageBuilder","8","false","License Included","us-east-1","Amazon AppStream","N/A"
"6BUQ8BKVJJPXVDRQ","JRTCKXETXF","6BUQ8BKVJJPXVDRQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.5 per hour for running a stream.compute.xlarge ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.5000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.xlarge","Compute optimized","4","Windows",,"USE1-stream.compute.xlarge-ib","Streaming:001","ImageBuilder","7.5",,"License Included","us-east-1","Amazon AppStream","N/A"
"6CK7RUEJMDGGYZ9H","JRTCKXETXF","6CK7RUEJMDGGYZ9H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.849 per hour for a Linux stream.graphics-pro.8xlarge ImageBuilder instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","2.8490000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics-pro.8xlarge","Graphics Pro","32","Amazon Linux",,"USE1-graphics-pro.8xlarge-al-ib","Streaming:001","ImageBuilder","244",,"None","us-east-1","Amazon AppStream","16"
"6CSBA8HUTNWBM6F7","JRTCKXETXF","6CSBA8HUTNWBM6F7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.64 per hour for Red Hat Enterprise Linux FleetInstance stream.graphics.g5.12xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","10.6400000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.12xlarge","Graphics G5","48","Red Hat Enterprise Linux",,"USE1-stream.graphics.g5.12xlarge-rh-fl","Streaming:001","Fleet","192","false","License Included","us-east-1","Amazon AppStream","96"
"6FPJR7PTDP5YQHWE","JRTCKXETXF","6FPJR7PTDP5YQHWE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per hour for running a stream.graphics-design.xlarge Fleet instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.5000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics-design.xlarge","Graphics Design","4","Windows",,"USE1-graphics-design.xlarge-fl","Streaming:001","Fleet","15.3",,"License Included","us-east-1","Amazon AppStream","2"
"6N6KASJTG4QT3TTH","JRTCKXETXF","6N6KASJTG4QT3TTH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.348 per hour for Rocky Linux ImageBuilder stream.memory.z1d.3xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","2.3480000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.3xlarge","Memory optimized","12","Rocky Linux",,"USE1-stream.memory.z1d.3xlarge-rl-ib","Streaming:001","ImageBuilder","96","false","License Included","us-east-1","Amazon AppStream","N/A"
"6RFUHBCYPS6BXJVH","JRTCKXETXF","6RFUHBCYPS6BXJVH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.79 per hour for a Linux stream.graphics.g5.4xlarge Fleet instance in US East (N. Virginia)","2025-04-01","0","Inf","hour","2.7900000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.4xlarge","Graphics G5","16","Amazon Linux",,"USE1-stream.graphics.g5.4xlarge-al-fl","Streaming:001","Fleet","64","false","None","us-east-1","Amazon AppStream","24"
"6S6FWJMPMGNMYY84","JRTCKXETXF","6S6FWJMPMGNMYY84.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.744 per hour for a Linux stream.memory.z1d.xlarge Fleet instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","0.7440000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.xlarge","Memory optimized","4","Amazon Linux",,"USE1-stream.memory.z1d.xlarge-al-fl","Streaming:001","Fleet","32",,"None","us-east-1","Amazon AppStream","N/A"
"6T5BMW57H67VHZEM","JRTCKXETXF","6T5BMW57H67VHZEM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$7.774 per hour for a Linux stream.graphics.g4dn.16xlarge ImageBuilder instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","7.7740000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.16xlarge","Graphics","64","Amazon Linux",,"USE1-stream.graphics.g4dn.16xlarge-al-ib","Streaming:001","ImageBuilder","256",,"None","us-east-1","Amazon AppStream","16"
"6YNF8CEGQHZJABTE","JRTCKXETXF","6YNF8CEGQHZJABTE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.352 per hour for Rocky Linux Fleet Instance stream.standard.xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","0.3530000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.xlarge","General purpose","4","Rocky Linux",,"USE1-stream.standard.xlarge-rl-fl","Streaming:001","Fleet","16","false","License Included","us-east-1","Amazon AppStream","N/A"
