"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-08T17:57:50Z"
"Version","20250408175750"
"OfferCode","AmazonTimestream"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","Instance Type","vCPU","Memory","Storage","Network Performance","Storage Media","Volume Type","Min Volume Size","Max Volume Size","Engine Code","Database Engine","License Model","Deployment Option","usageType","operation","disableActivationConfirmationEmail","Normalization Size Factor","Region Code","serviceName"
"MBGJQKW6D9NN3JDH","JRTCKXETXF","MBGJQKW6D9NN3JDH.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.478 per Instance-Hour for MultiAZ db.Influx.large Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.4780000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.large","2","16 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Multi-AZ","USE1-MultiAZUsage-Db.influx.large","Compute:001",,"8","us-east-1","Amazon Timestream"
"MNE2BB3US763H93K","JRTCKXETXF","MNE2BB3US763H93K.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 1.913 per Instance-Hour for ClusterNode db.Influx.4xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","1.9130000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.4xlarge","16","128 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Cluster","USE1-ClusterNodeUsage-Db.influx.4xlarge","Compute:001",,"32","us-east-1","Amazon Timestream"
"N727JNPAKUVXF22U","JRTCKXETXF","N727JNPAKUVXF22U.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 7.65 per Instance-Hour for ClusterNode db.Influx.16xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","7.6500000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.16xlarge","64","512 GiB","InfluxDb Compatible","Up to 25 Gigabit",,,,,"1","InfluxDB","No license required","Cluster","USE1-ClusterNodeUsage-Db.influx.16xlarge","Compute:001",,"128","us-east-1","Amazon Timestream"
"P7EQNU9PP898WPW2","JRTCKXETXF","P7EQNU9PP898WPW2.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 1.913 per Instance-Hour for SIngleAZ db.Influx.4xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","1.9130000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.4xlarge","16","128 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Single-AZ","USE1-InstanceUsage-Db.influx.4xlarge","Compute:001",,"32","us-east-1","Amazon Timestream"
"PB2FDF7BV4D5ASH4","JRTCKXETXF","PB2FDF7BV4D5ASH4.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.478 per Instance-Hour for SIngleAZ db.Influx.xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.4780000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.xlarge","4","32 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Single-AZ","USE1-InstanceUsage-Db.influx.xlarge","Compute:001",,"8","us-east-1","Amazon Timestream"
"PEQ6JWY683KN7GM9","JRTCKXETXF","PEQ6JWY683KN7GM9.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.239 per Instance-Hour for MultiAZ db.Influx.medium Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.2390000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.medium","1","8 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Multi-AZ","USE1-MultiAZUsage-Db.influx.medium","Compute:001",,"4","us-east-1","Amazon Timestream"
"PR7XTNWEMBZ35A3R","JRTCKXETXF","PR7XTNWEMBZ35A3R.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.239 per Instance-Hour for SIngleAZ db.Influx.large Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.2390000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.large","2","16 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Single-AZ","USE1-InstanceUsage-Db.influx.large","Compute:001",,"4","us-east-1","Amazon Timestream"
"PTCMHBU5ZTGWDJXV","JRTCKXETXF","PTCMHBU5ZTGWDJXV.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.239 per Instance-Hour for ClusterNode db.Influx.large Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.2390000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.large","2","16 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Cluster","USE1-ClusterNodeUsage-Db.influx.large","Compute:001",,"4","us-east-1","Amazon Timestream"
"RPMRH8X34YZFEEX7","JRTCKXETXF","RPMRH8X34YZFEEX7.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 15.3 per Instance-Hour for MultiAZ db.Influx.16xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","15.3000000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.16xlarge","64","512 GiB","InfluxDb Compatible","Up to 25 Gigabit",,,,,"1","InfluxDB","No license required","Multi-AZ","USE1-MultiAZUsage-Db.influx.16xlarge","Compute:001",,"256","us-east-1","Amazon Timestream"
"RPXQFF4UTZ4GAUK6","JRTCKXETXF","RPXQFF4UTZ4GAUK6.JRTCKXETXF.6YS6EN2CT7","OnDemand","price per GB scanned by Timestream queries - US East (N. Virginia)","2025-04-01","0","Inf","GB","0.0100000000","USD","Database Utilization","AmazonTimestream","Timestream Query","US East (N. Virginia)","AWS Region",,,,,,,,,,,,,,"USE1-DataScanned-Bytes","","true",,"us-east-1","Amazon Timestream"
"US7XK8A8JDJMX5MB","JRTCKXETXF","US7XK8A8JDJMX5MB.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 3.825 per Instance-Hour for ClusterNode db.Influx.8xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","3.8250000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.8xlarge","32","256 GiB","InfluxDb Compatible","Up to 12 Gigabit",,,,,"1","InfluxDB","No license required","Cluster","USE1-ClusterNodeUsage-Db.influx.8xlarge","Compute:001",,"64","us-east-1","Amazon Timestream"
"VCNQ6Q2A3VA4ZF6C","JRTCKXETXF","VCNQ6Q2A3VA4ZF6C.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.478 per Instance-Hour for ClusterNode db.Influx.xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.4780000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.xlarge","4","32 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Cluster","USE1-ClusterNodeUsage-Db.influx.xlarge","Compute:001",,"8","us-east-1","Amazon Timestream"
"WXSSC8XZ424DWBQ4","JRTCKXETXF","WXSSC8XZ424DWBQ4.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.35 per GB-Month for ClusterNode InfluxIOIncludedT2 in US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","0.3500000000","USD","Influx Optimized Storage","AmazonTimestream",,"US East (N. Virginia)","AWS Region",,,,,,"SSD","Influx IOPS Included with 12k IOPS",,,"1","InfluxDB",,"Cluster","USE1-ClusterNode-InfluxDBStorage-InfluxIOIncludedT2","Storage:001",,,"us-east-1","Amazon Timestream"
"YFYS9ZHWCW26R3DN","JRTCKXETXF","YFYS9ZHWCW26R3DN.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 1 per GB-Month for MultiAZ InfluxIOIncludedT3 in US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","1.0000000000","USD","Influx Optimized Storage","AmazonTimestream","MultiAZ Influx IOPS Included (16K IOPS)","US East (N. Virginia)","AWS Region",,,,,,"SSD","Influx IOPS Included with 16K IOPS","400 GB","16 TB","1","InfluxDB",,"Multi-AZ","USE1-MultiAZ-InfluxDBStorage-InfluxIOIncludedT3","Storage:001",,,"us-east-1","Amazon Timestream"
"ZXQNH69MUXTTEUCD","JRTCKXETXF","ZXQNH69MUXTTEUCD.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.50 per GB-Month for SingleAZ InfluxIOIncludedT3 in US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","0.5000000000","USD","Influx Optimized Storage","AmazonTimestream","SingleAZ Influx IOPS Included (16K IOPS)","US East (N. Virginia)","AWS Region",,,,,,"SSD","Influx IOPS Included with 16K IOPS","400 GB","16 TB","1","InfluxDB",,"Single-AZ","USE1-SingleAZ-InfluxDBStorage-InfluxIOIncludedT3","Storage:001",,,"us-east-1","Amazon Timestream"
