"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-03-25T11:28:32Z"
"Version","20240325112832"
"OfferCode","AmazonLex"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Input Mode","Learning Mode","Output Mode","Region Code","serviceName","Supported Modes"
"3AK62M4GAR24JKY2","JRTCKXETXF","3AK62M4GAR24JKY2.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.004 per Speech Request for ko-KR-SpeechToSpeech-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0040000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Speech-Req","Processes speech to speech requests (ko-KR)","USE1-ko-KR-SpeechToSpeech-Req","RecognizeUtterance","Speech",,"Speech","us-east-1","Amazon Lex","Speech and Text"
"3BTBVF67HBHJ9G3P","JRTCKXETXF","3BTBVF67HBHJ9G3P.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processed speech to text request in us-east-1 for es-419","2024-01-01","0","Inf","Requests","0.0040000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text","Processes speech to text requests (es-419)","USE1-es-419-SpeechToText-Req","PostContent","Speech",,"Text","us-east-1","Amazon Lex","Speech and Text"
"3D554HK26MKM2963","JRTCKXETXF","3D554HK26MKM2963.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD7.5E-4 per Text Request for zh-CN-TextToText-Req : RecognizeText in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0007500000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text-Req","Processes Text to Text requests only (zh-CN)","USE1-zh-CN-TextToText-Req","RecognizeText","Text",,"Text","us-east-1","Amazon Lex","Text Only"
"3DYN7QJB873EDTEH","JRTCKXETXF","3DYN7QJB873EDTEH.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.002 per DTMF Request for hi-IN-DTMFToText-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0020000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","DTMF-to-Text-Str","Processes DTMF to text requests (hi-IN)","USE1-hi-IN-DTMFToText-Str","StartConversation","DTMF",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
"3EDTM8GYQ6KCCB3G","JRTCKXETXF","3EDTM8GYQ6KCCB3G.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.002 per DTMF Request for no-NO-DTMFToSpeech-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0020000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","DTMF-to-Speech-Str","Processes DTMF to speech requests (no-NO)","USE1-no-NO-DTMFToSpeech-Str","StartConversation","DTMF",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"3PTCVUQQF9GZVRKF","JRTCKXETXF","3PTCVUQQF9GZVRKF.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.002 per DTMF Request for ca-ES-DTMFToText-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0020000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","DTMF-to-Text-Str","Processes DTMF to text requests (pt-BR)","USE1-pt-BR-DTMFToText-Str","StartConversation","DTMF",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
"3QACT4KNUWT9GVCR","JRTCKXETXF","3QACT4KNUWT9GVCR.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.002 per DTMF Request for es-419-DTMFToSpeech-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0020000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","DTMF-to-Speech-Str","Processes DTMF to speech requests (es-419)","USE1-es-419-DTMFToSpeech-Str","StartConversation","DTMF",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"3QNYQNT28K3K5Y4A","JRTCKXETXF","3QNYQNT28K3K5Y4A.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0094 per Speech Interval for de-AT-SpeechToText-Str : StartConversation in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0094000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Str-GR","Processes speech to text requests (de-AT)","USE1-de-AT-SpeechToText-Str-GR","StartConversation","Speech",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
"3RH9AZJS9NVCMUX3","JRTCKXETXF","3RH9AZJS9NVCMUX3.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.002 per Text Request for de-DE-TextToSpeech-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0020000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Speech-Str","Processes text to speech requests (de-DE)","USE1-de-DE-TextToSpeech-Str","StartConversation","Text",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"3VJDGG32DWFSJEQJ","JRTCKXETXF","3VJDGG32DWFSJEQJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD.0011 per Text Request for it-IT-TextToText-Req : RecognizeUtterance in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0011000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text-Req-GR","Processes text to text requests (it-IT)","USE1-it-IT-TextToText-Req-GR","RecognizeUtterance","Text",,"Text","us-east-1","Amazon Lex","Speech and Text"
"3VX88S3WNPYXU2DQ","JRTCKXETXF","3VX88S3WNPYXU2DQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.002 per DTMF Request for es-419-DTMFToText-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0020000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","DTMF-to-Text-Str","Processes DTMF to text requests (es-419)","USE1-es-419-DTMFToText-Str","StartConversation","DTMF",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
"3XEXT2H7WV3NBQHZ","JRTCKXETXF","3XEXT2H7WV3NBQHZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.003 per DTMF Request for es-419-DTMFToText-Str : StartConversation in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0030000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","DTMF-to-Text-Str-GR","Processes DTMF to text requests (es-419)","USE1-es-419-DTMFToText-Str-GR","StartConversation","DTMF",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
"3YAM23HAF662FDBC","JRTCKXETXF","3YAM23HAF662FDBC.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.002 per Text Request for pt-PT-TextToSpeech-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0020000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Speech-Str","Processes text to speech requests (pt-PT)","USE1-pt-PT-TextToSpeech-Str","StartConversation","Text",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"3YNWKCWKJGGXYR69","JRTCKXETXF","3YNWKCWKJGGXYR69.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD.0011 per Text Request for es-419-TextToSpeech-Req : RecognizeUtterance in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0011000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Speech-Req-GR","Processes text to speech requests (es-419)","USE1-es-419-TextToSpeech-Req-GR","RecognizeUtterance","Text",,"Speech","us-east-1","Amazon Lex","Speech and Text"
"3ZAYYS5CXRRGJJE7","JRTCKXETXF","3ZAYYS5CXRRGJJE7.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.006 per Speech Request for zh-CN-SpeechToText-Req : RecognizeUtterance in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0060000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Req-GR","Processes speech to text requests (zh-cn)","USE1-zh-CN-SpeechToText-Req-GR","RecognizeUtterance","Speech",,"Text","us-east-1","Amazon Lex","Speech and Text"
