"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-02-17T19:49:44Z"
"Version","20250217194944"
"OfferCode","AWSElementalMediaConvert"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","AddOn Feature","MinuteState","Region Code","serviceName","Tier","Transcoding Result","Video Codec","Video Frame Rate","Video Quality Setting","Video Resolution"
"57TXSP5HWR2KBDRK","JRTCKXETXF","57TXSP5HWR2KBDRK.JRTCKXETXF.ZM2XF3EGYR","OnDemand","$0.0120/min - US East (N. Virginia)  - Normalized Transcoding Minute - Professional","2025-02-01","0","50000","minutes","0.0120000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-Normalized-Transcode-Minute-Professional","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","NA","NA","NA","NA"
"57TXSP5HWR2KBDRK","JRTCKXETXF","57TXSP5HWR2KBDRK.JRTCKXETXF.2WMS3WZGZW","OnDemand","$0.0096/min - US East (N. Virginia)  - Normalized Transcoding Minute - Professional","2025-02-01","50000","1000000","minutes","0.0096000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-Normalized-Transcode-Minute-Professional","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","NA","NA","NA","NA"
"57TXSP5HWR2KBDRK","JRTCKXETXF","57TXSP5HWR2KBDRK.JRTCKXETXF.H9V8AVEXGG","OnDemand","$0.0072/min - US East (N. Virginia)  - Normalized Transcoding Minute - Professional","2025-02-01","1000000","10000000","minutes","0.0072000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-Normalized-Transcode-Minute-Professional","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","NA","NA","NA","NA"
"57TXSP5HWR2KBDRK","JRTCKXETXF","57TXSP5HWR2KBDRK.JRTCKXETXF.EFRCQPS26J","OnDemand","$0.0036/min - US East (N. Virginia)  - Normalized Transcoding Minute - Professional","2025-02-01","10000000","Inf","minutes","0.0036000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-Normalized-Transcode-Minute-Professional","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","NA","NA","NA","NA"
"5APUVG6VAXZQ3599","JRTCKXETXF","5APUVG6VAXZQ3599.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.021/min - US East (N. Virginia) - SD, MPEG2, <=30 fps, Multi-pass, Pro Tier","2025-02-01","0","Inf","minutes","0.0210000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-MP2-SD-M-30","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","MPEG2","<=30 fps","Multi-pass","SD"
"5GB5HZQATFSA4732","JRTCKXETXF","5GB5HZQATFSA4732.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.006/min - US East (N. Virginia) - NexGuard Watermarking SD","2025-02-01","0","Inf","minutes","0.0060000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-NEXGUARD-SD","","NexGuard Watermarking SD","Untransformed","us-east-1","AWS Elemental MediaConvert","Add-On","Success",,,,
"5GMD6JP988B9UWZH","JRTCKXETXF","5GMD6JP988B9UWZH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.168 per minute for 4K, HEVC/H.265, <=30 fps, Multi-pass HQ, Pro tier in US East (N. Virginia)","2025-02-01","0","Inf","minutes","0.1680000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-HEVC-4K-MHQ-30","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","HEVC/H.265","<=30 fps","Multi-pass HQ","4K"
"5SFQNCS4BFV5KRTM","JRTCKXETXF","5SFQNCS4BFV5KRTM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.294/min - US East (N. Virginia) - 4K, AVC-Intra, <=30 fps, Multi-pass, Pro Tier","2025-02-01","0","Inf","minutes","0.2940000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-AVCI-4K-M-30","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","AVC-Intra","<=30 fps","Multi-pass","4K"
"5UU2VBB4MXDBVRPE","JRTCKXETXF","5UU2VBB4MXDBVRPE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10368/min - US East (N. Virginia) - 4K, VP8, <=30 fps, Pro Tier","2025-02-01","0","Inf","minutes","0.1036800000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-VP8-4K-MHQ-30","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","VP8","<=30 fps","Multi-pass HQ","4K"
"5W2SZP7MUXPKPYR3","JRTCKXETXF","5W2SZP7MUXPKPYR3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1056 per minute for HD, HEVC/H.265, >30 fps and <=60 fps, Multi-pass HQ, Pro tier in US East (N. Virginia)","2025-02-01","0","Inf","minutes","0.1056000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-HEVC-HD-MHQ-60","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","HEVC/H.265",">30 fps and <=60 fps","Multi-pass HQ","HD"
