"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-03-19T17:22:41Z"
"Version","20240319172241"
"OfferCode","AmazonManagedBlockchain"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","usageType","operation","Framework Type","Region Code","serviceName","Size"
"KR4BTMGB4R7ZQWMU","JRTCKXETXF","KR4BTMGB4R7ZQWMU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.307 per hour for Node:bc.m5.xlarge:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.3070000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.m5.xlarge","USE1-Node:bc.m5.xlarge","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"MR6GN6FMVDESE2ZN","JRTCKXETXF","MR6GN6FMVDESE2ZN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.034 per hour for Hyperledger Fabric - Standard Edition bc.t3.small node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.0340000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.t3.small","USE1-Node:bc.t3.small","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"MRS9VB6RAGSJRFXA","JRTCKXETXF","MRS9VB6RAGSJRFXA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB-Mo for Node-Storage:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","GB-Mo","0.1000000000","USD","Blockchain Node Storage","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Node-Storage","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"MVWY3CH5CAWB55G9","JRTCKXETXF","MVWY3CH5CAWB55G9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.617 per hour for Hyperledger Fabric - Standard Edition bc.m5.2xlarge node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.6170000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.m5.2xlarge","USE1-Node:bc.m5.2xlarge","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"ND2DSQRB7JCX3D6E","JRTCKXETXF","ND2DSQRB7JCX3D6E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000003 per Request ($3 per million requests) for Request:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Request","0.0000030000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Request","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"NV6C2NA4RZB5ECSA","JRTCKXETXF","NV6C2NA4RZB5ECSA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.30 per hr for Hyperledger Fabric - Starter Edition member in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.3000000000","USD","Blockchain Member","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Member","Fabric:Starter","Hyperledger Fabric - Starter","us-east-1","Amazon Managed Blockchain",
"RUASU7KN8DJZS3V4","JRTCKXETXF","RUASU7KN8DJZS3V4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000025 per Request for Access-Public-XL:Public-Bitcoin-Mainnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000250000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Access-Public-XL","Public-Bitcoin-Mainnet","Bitcoin-Mainnet-Access","us-east-1","Amazon Managed Blockchain","XL"
"SKVKW2PV439T85CC","JRTCKXETXF","SKVKW2PV439T85CC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000025 per Request for Query-Public-XL:Public-Bitcoin-Testnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000250000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Query-Public-XL","Public-Bitcoin-Testnet","Bitcoin-Testnet-Query","us-east-1","Amazon Managed Blockchain","XL"
"TCESZ2VRDTJSFVPF","JRTCKXETXF","TCESZ2VRDTJSFVPF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000009 per Request for Query-Public-M:Public-Ethereum-Mainnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000090000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Query-Public-M","Public-Ethereum-Mainnet","Ethereum-Mainnet-Query","us-east-1","Amazon Managed Blockchain","M"
"THVJ3V8K3PV43T9X","JRTCKXETXF","THVJ3V8K3PV43T9X.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.154 per hour for Hyperledger Fabric - Standard Edition bc.m5.large node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.1540000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.m5.large","USE1-Node:bc.m5.large","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
