"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-24T18:36:43Z"
"Version","20250324183643"
"OfferCode","AWSMediaConnect"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Flow Type","From Region Code","Region Code","Reserved Tier","serviceName","To Region Code"
"3V9QG3MXKD4GFN33","JRTCKXETXF","3V9QG3MXKD4GFN33.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Hong Kong) data transfer from US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","Asia Pacific (Hong Kong)","AWS Region","InterRegion Inbound","Asia Pacific (Hong Kong)","AWS Region","US East (N. Virginia)","AWS Region","APE1-USE1-AWS-In-Bytes","DataProcessed",,"ap-east-1","ap-east-1",,"AWS Elemental MediaConnect","us-east-1"
"4BBB4FB4FV8UV63V","JRTCKXETXF","4BBB4FB4FV8UV63V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from EU (Stockholm)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","EU (Stockholm)","AWS Region","USE1-EUN1-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","eu-north-1"
"4F5UATE8HK667NEG","JRTCKXETXF","4F5UATE8HK667NEG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.161/hour Reserved Outbound Bandwidth at 50Mbps US East (N. Virginia)","2025-03-01","0","Inf","Hrs","1.1610000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","AWS Outbound Reserved","US East (N. Virginia)","AWS Region","External","Other","Reserved-DataTransfer-Out-Hours","DataProcessedReserved50Mbps1Yr",,"us-east-1","us-east-1","50 Mbps","AWS Elemental MediaConnect",""
"4TRK7BD42Y538HHC","JRTCKXETXF","4TRK7BD42Y538HHC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer in to US East (Northern Virginia) from CloudFront","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","Amazon CloudFront","AWS Edge Location","USE1-CloudFront-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect",""
"53CREN5NSKMNU7G5","JRTCKXETXF","53CREN5NSKMNU7G5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.080 per GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0800000000","USD","Data Transfer","AWSMediaConnect","Asia Pacific (Seoul)","AWS Region","InterRegion Outbound","Asia Pacific (Seoul)","AWS Region","US East (N. Virginia)","AWS Region","APN2-USE1-AWS-Out-Bytes","DataProcessed",,"ap-northeast-2","ap-northeast-2",,"AWS Elemental MediaConnect","us-east-1"
"5Q5KVJ6ZSTAMT63T","JRTCKXETXF","5Q5KVJ6ZSTAMT63T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Tokyo)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","Asia Pacific (Tokyo)","AWS Region","USE1-APN1-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","ap-northeast-1"
"5T9TYF5CDN998FAD","JRTCKXETXF","5T9TYF5CDN998FAD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per GB - US East (Northern Virginia) data transfer to US East (Ohio)","2025-03-01","0","Inf","GB","0.0100000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Outbound","US East (N. Virginia)","AWS Region","US East (Ohio)","AWS Region","USE1-USE2-AWS-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","us-east-2"
"5TGBXZT6Z3MTVSW3","JRTCKXETXF","5TGBXZT6Z3MTVSW3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Tokyo)","2025-03-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Outbound","US East (N. Virginia)","AWS Region","Asia Pacific (Tokyo)","AWS Region","USE1-APN1-AWS-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","ap-northeast-1"
"64X6BT64ZPNNQ5VU","JRTCKXETXF","64X6BT64ZPNNQ5VU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Mumbai)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Inbound","US East (N. Virginia)","AWS Region","Asia Pacific (Mumbai)","AWS Region","USE1-APS3-AWS-In-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","ap-south-1"
"66SMEEKUC9WBFCAA","JRTCKXETXF","66SMEEKUC9WBFCAA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","South America (Sao Paulo)","AWS Region","InterRegion Inbound","South America (Sao Paulo)","AWS Region","US East (N. Virginia)","AWS Region","SAE1-USE1-AWS-In-Bytes","DataProcessed",,"sa-east-1","sa-east-1",,"AWS Elemental MediaConnect","us-east-1"
