"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-03-11T17:14:13Z"
"Version","20220311171413"
"OfferCode","AmazonChimeDialInAMCS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Calling Type","Country","PrimaryPlaceOfUse","Region Code","serviceName","Transaction Type"
"639D8FNT798QP244","JRTCKXETXF","639D8FNT798QP244.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Finland","2022-03-01","0","Inf","Minute","0.0032210000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-FI-toll-inbound-mins","","Toll","Finland","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"64U4JVEKNEDNUGNQ","JRTCKXETXF","64U4JVEKNEDNUGNQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Lithuania","2022-03-01","0","Inf","Minute","0.4850000000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-LT-tollfree-inbound-mins","","Toll Free","Lithuania","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"68S32JGDZXHD9W6P","JRTCKXETXF","68S32JGDZXHD9W6P.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for South Africa","2022-03-01","0","Inf","Minute","0.0057770000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-ZA-toll-inbound-mins","","Toll","South Africa","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"69WJ632GRE3Z8WEQ","JRTCKXETXF","69WJ632GRE3Z8WEQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Malta","2022-03-01","0","Inf","Minute","0.0087950000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-MT-toll-inbound-mins","","Toll","Malta","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"6NE47E9DTY6JUJKQ","JRTCKXETXF","6NE47E9DTY6JUJKQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Cyprus","2022-03-01","0","Inf","Minute","0.0087950000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-CY-toll-inbound-mins","","Toll","Cyprus","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"6PEC6ZHDDCPWQKQD","JRTCKXETXF","6PEC6ZHDDCPWQKQD.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Barbados","2022-03-01","0","Inf","Minute","0.0022160000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-BB-toll-inbound-mins","","Toll","Barbados","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"6VKTCR5XJTFSKYER","JRTCKXETXF","6VKTCR5XJTFSKYER.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Netherlands","2022-03-01","0","Inf","Minute","0.4000000000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-NL-tollfree-inbound-mins","","Toll Free","Netherlands","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"6WEZWJW985JP95SS","JRTCKXETXF","6WEZWJW985JP95SS.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Thailand","2022-03-01","0","Inf","Minute","0.1233850000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-TH-tollfree-inbound-mins","","Toll Free","Thailand","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"75S4M7GHBCY8CWNN","JRTCKXETXF","75S4M7GHBCY8CWNN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Canada","2022-03-01","0","Inf","Minute","0.0119100000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-CA-tollfree-inbound-mins","","Toll Free","Canada","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"78JDMYKB9E4EVNEP","JRTCKXETXF","78JDMYKB9E4EVNEP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Malaysia","2022-03-01","0","Inf","Minute","0.0221600000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-MY-toll-inbound-mins","","Toll","Malaysia","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
