"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-04T15:45:17Z"
"Version","20250404154517"
"OfferCode","comprehend"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","PlatoFeatureType","Region Code","serviceName"
"K6SABC6YMZ555VZD","JRTCKXETXF","K6SABC6YMZ555VZD.JRTCKXETXF.HWDSBTNJX9","OnDemand","$0.000002 per Unit for ContainsPiiEntities:ContainsPiiEntities in US East (N. Virginia)","2025-04-01","0","10000000","Unit","0.0000020000","USD","API Calls","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-ContainsPiiEntities","Processes Contains PII in text requests","USE1-ContainsPiiEntities","ContainsPiiEntities","ContainsPiiEntities","us-east-1","Amazon Comprehend"
"K6SABC6YMZ555VZD","JRTCKXETXF","K6SABC6YMZ555VZD.JRTCKXETXF.UH4R86KK5B","OnDemand","$0.000001 per Unit for ContainsPiiEntities:ContainsPiiEntities in US East (N. Virginia)","2025-04-01","10000000","50000000","Unit","0.0000010000","USD","API Calls","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-ContainsPiiEntities","Processes Contains PII in text requests","USE1-ContainsPiiEntities","ContainsPiiEntities","ContainsPiiEntities","us-east-1","Amazon Comprehend"
"K6SABC6YMZ555VZD","JRTCKXETXF","K6SABC6YMZ555VZD.JRTCKXETXF.H7TEM37A35","OnDemand","$0.0000005 per Unit for ContainsPiiEntities:ContainsPiiEntities in US East (N. Virginia)","2025-04-01","50000000","100000000","Unit","0.0000005000","USD","API Calls","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-ContainsPiiEntities","Processes Contains PII in text requests","USE1-ContainsPiiEntities","ContainsPiiEntities","ContainsPiiEntities","us-east-1","Amazon Comprehend"
"K6SABC6YMZ555VZD","JRTCKXETXF","K6SABC6YMZ555VZD.JRTCKXETXF.F83EQNDM5J","OnDemand","$0.0000001 per Unit for ContainsPiiEntities:ContainsPiiEntities in US East (N. Virginia)","2025-04-01","100000000","Inf","Unit","0.0000001000","USD","API Calls","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-ContainsPiiEntities","Processes Contains PII in text requests","USE1-ContainsPiiEntities","ContainsPiiEntities","ContainsPiiEntities","us-east-1","Amazon Comprehend"
"R97Z9DEVZRY7T9MP","JRTCKXETXF","R97Z9DEVZRY7T9MP.JRTCKXETXF.HWDSBTNJX9","OnDemand","Processes Key Phrase detection text requests in us-east-1 - Upto 10M","2025-04-01","0","10000000","Unit","0.0001000000","USD","Key Phrases Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-KeyPhrases","Processes Key Phrase detection text request","USE1-DetectKeyPhrases","DetectKeyPhrases","DetectKeyPhrases","us-east-1","Amazon Comprehend"
"R97Z9DEVZRY7T9MP","JRTCKXETXF","R97Z9DEVZRY7T9MP.JRTCKXETXF.UH4R86KK5B","OnDemand","Processes Key Phrase detection text requests in us-east-1 - Upto 50M","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Key Phrases Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-KeyPhrases","Processes Key Phrase detection text request","USE1-DetectKeyPhrases","DetectKeyPhrases","DetectKeyPhrases","us-east-1","Amazon Comprehend"
"R97Z9DEVZRY7T9MP","JRTCKXETXF","R97Z9DEVZRY7T9MP.JRTCKXETXF.ECJTRKSV3C","OnDemand","Processes Key Phrase detection text requests in us-east-1 - Over 50M","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Key Phrases Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-KeyPhrases","Processes Key Phrase detection text request","USE1-DetectKeyPhrases","DetectKeyPhrases","DetectKeyPhrases","us-east-1","Amazon Comprehend"
"S48Y3HRXDWBWW4JV","JRTCKXETXF","S48Y3HRXDWBWW4JV.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD1.0E-4 per Unit for DetectToxicContent:DetectToxicContent in US East (N. Virginia)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Toxicity detection","comprehend","US East (N. Virginia)","AWS Region","Comprehend Toxicity Detection","Comprehend toxicity detection for text segments","USE1-DetectToxicContent","DetectToxicContent",,"us-east-1","Amazon Comprehend"
"S48Y3HRXDWBWW4JV","JRTCKXETXF","S48Y3HRXDWBWW4JV.JRTCKXETXF.UH4R86KK5B","OnDemand","USD5.0E-5 per Unit for DetectToxicContent:DetectToxicContent in US East (N. Virginia)","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Toxicity detection","comprehend","US East (N. Virginia)","AWS Region","Comprehend Toxicity Detection","Comprehend toxicity detection for text segments","USE1-DetectToxicContent","DetectToxicContent",,"us-east-1","Amazon Comprehend"
"S48Y3HRXDWBWW4JV","JRTCKXETXF","S48Y3HRXDWBWW4JV.JRTCKXETXF.H7TEM37A35","OnDemand","USD2.5E-5 per Unit for DetectToxicContent:DetectToxicContent in US East (N. Virginia)","2025-04-01","50000000","100000000","Unit","0.0000250000","USD","Toxicity detection","comprehend","US East (N. Virginia)","AWS Region","Comprehend Toxicity Detection","Comprehend toxicity detection for text segments","USE1-DetectToxicContent","DetectToxicContent",,"us-east-1","Amazon Comprehend"
