"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-22T22:14:35Z"
"Version","20250522221435"
"OfferCode","AmazonKinesisFirehose"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","Group","usageType","operation","Region Code","serviceName","SourceType","TicketType"
"B674W3KVY282C9AV","JRTCKXETXF","B674W3KVY282C9AV.JRTCKXETXF.PERGK9UASF","OnDemand","Tier 3 $0.020 per GB of data ingested","2025-05-01","2048000","Inf","GB","0.0200000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Batch Processing","USE1-BilledBytes","PutRecordBatch","us-east-1","Amazon Kinesis Firehose",,"1"
"H6M64K6UYMNHNYHY","JRTCKXETXF","H6M64K6UYMNHNYHY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per Hour per AZ for VPC delivery in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.0100000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per Hour per AZ for VPC delivery","US East (N. Virginia)","AWS Region","VPC","USE1-Firehose-VpcDelivery-Hours","RunVpcInstance","us-east-1","Amazon Kinesis Firehose",,"1"
"KUDCPYF8REBHUQGN","JRTCKXETXF","KUDCPYF8REBHUQGN.JRTCKXETXF.HK3AFRJD7J","OnDemand","Tier 1 USD 0.13 per GB of data ingested","2025-05-01","0","512000","GB","0.1300000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Batch Processing","USE1-VendedLogsBilledBytes","PutRecordBatch","us-east-1","Amazon Kinesis Firehose","Vended Logs",
"KUDCPYF8REBHUQGN","JRTCKXETXF","KUDCPYF8REBHUQGN.JRTCKXETXF.UWBZ2JUKT9","OnDemand","Tier 2 USD 0.11 per GB of data ingested","2025-05-01","512000","2048000","GB","0.1100000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Batch Processing","USE1-VendedLogsBilledBytes","PutRecordBatch","us-east-1","Amazon Kinesis Firehose","Vended Logs",
"KUDCPYF8REBHUQGN","JRTCKXETXF","KUDCPYF8REBHUQGN.JRTCKXETXF.PERGK9UASF","OnDemand","Tier 3 USD 0.09 per GB of data ingested","2025-05-01","2048000","Inf","GB","0.0900000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Batch Processing","USE1-VendedLogsBilledBytes","PutRecordBatch","us-east-1","Amazon Kinesis Firehose","Vended Logs",
"MHBWEUY8DCMVQ66Y","JRTCKXETXF","MHBWEUY8DCMVQ66Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.018 per GB of data format conversion","2025-05-01","0","Inf","GB","0.0180000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data format conversion","US East (N. Virginia)","AWS Region","Batch format conversion","USE1-DFCBilledBytes","DataFormatConversion","us-east-1","Amazon Kinesis Firehose",,"1"
"N2HBGHSJ9P2RZZUU","JRTCKXETXF","N2HBGHSJ9P2RZZUU.JRTCKXETXF.PKDEJ9N4K8","OnDemand","Tier 1 $0.045 per GB of data ingested ","2025-05-01","0","256000","GB","0.0450000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested or delivered","US East (N. Virginia)","AWS Region","MSK Record Processing","USE1-IcebergTablesBilledBytes","MSKAsSource","us-east-1","Amazon Kinesis Firehose",,
"N2HBGHSJ9P2RZZUU","JRTCKXETXF","N2HBGHSJ9P2RZZUU.JRTCKXETXF.V2M4DY9FUH","OnDemand","Tier 2 $0.038 per GB of data ingested ","2025-05-01","256000","1024000","GB","0.0380000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested or delivered","US East (N. Virginia)","AWS Region","MSK Record Processing","USE1-IcebergTablesBilledBytes","MSKAsSource","us-east-1","Amazon Kinesis Firehose",,
"N2HBGHSJ9P2RZZUU","JRTCKXETXF","N2HBGHSJ9P2RZZUU.JRTCKXETXF.W36PUWTAP8","OnDemand","Tier 3 $0.032 per GB of data ingested","2025-05-01","1024000","Inf","GB","0.0320000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested or delivered","US East (N. Virginia)","AWS Region","MSK Record Processing","USE1-IcebergTablesBilledBytes","MSKAsSource","us-east-1","Amazon Kinesis Firehose",,
"N5ABK3TWTJD9F8JK","JRTCKXETXF","N5ABK3TWTJD9F8JK.JRTCKXETXF.HK3AFRJD7J","OnDemand","Tier 1 $0.055 per GB of data ingested or delivered","2025-05-01","0","512000","GB","0.0550000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","MSK Record Processing","USE1-MSKAsSourceBilledBytes","MSKAsSource","us-east-1","Amazon Kinesis Firehose",,
"N5ABK3TWTJD9F8JK","JRTCKXETXF","N5ABK3TWTJD9F8JK.JRTCKXETXF.UWBZ2JUKT9","OnDemand","Tier 2 $0.047 per GB of data ingested or delivered","2025-05-01","512000","2048000","GB","0.0470000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","MSK Record Processing","USE1-MSKAsSourceBilledBytes","MSKAsSource","us-east-1","Amazon Kinesis Firehose",,
"N5ABK3TWTJD9F8JK","JRTCKXETXF","N5ABK3TWTJD9F8JK.JRTCKXETXF.PERGK9UASF","OnDemand","Tier 3 $0.040 perGB of data ingested or delivered","2025-05-01","2048000","Inf","GB","0.0400000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","MSK Record Processing","USE1-MSKAsSourceBilledBytes","MSKAsSource","us-east-1","Amazon Kinesis Firehose",,
"NRAZ7EX6HBHGRAU8","JRTCKXETXF","NRAZ7EX6HBHGRAU8.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per GB of data decompressed","2025-05-01","0","Inf","GB","0.0032500000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data decompressed","US East (N. Virginia)","AWS Region","CWL Decompression","USE1-DecompressionDecompressedBytes","Decompression","us-east-1","Amazon Kinesis Firehose",,
"WBB3WSH3G5E5NK3F","JRTCKXETXF","WBB3WSH3G5E5NK3F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB of data processed through dynamic partitioning","2025-05-01","0","Inf","GB","0.0200000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of dynamically partitioned data delivered","US East (N. Virginia)","AWS Region","Dynamic Partitioning","USE1-DPBytesDelivered","DynamicPartitioning","us-east-1","Amazon Kinesis Firehose",,"1"
"Z92GXWRUG9V2H2TE","JRTCKXETXF","Z92GXWRUG9V2H2TE.JRTCKXETXF.HK3AFRJD7J","OnDemand","Tier 1 USD 0.13 per GB of data ingested","2025-05-01","0","512000","GB","0.1300000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-VendedLogsBilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose","Vended Logs",
"Z92GXWRUG9V2H2TE","JRTCKXETXF","Z92GXWRUG9V2H2TE.JRTCKXETXF.UWBZ2JUKT9","OnDemand","Tier 2 USD 0.11 per GB of data ingested","2025-05-01","512000","2048000","GB","0.1100000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-VendedLogsBilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose","Vended Logs",
"Z92GXWRUG9V2H2TE","JRTCKXETXF","Z92GXWRUG9V2H2TE.JRTCKXETXF.PERGK9UASF","OnDemand","Tier 3 USD 0.09 per GB of data ingested","2025-05-01","2048000","Inf","GB","0.0900000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-VendedLogsBilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose","Vended Logs",
"ZS3UK5XAYVUNW393","JRTCKXETXF","ZS3UK5XAYVUNW393.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per GB of data","2025-05-01","0","Inf","GB","0.0800000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data","US East (N. Virginia)","AWS Region","Batch Processing","USE1-DirectPUT-no-rounding-BilledBytes","PutRecordBatch","us-east-1","Amazon Kinesis Firehose",,
