SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,vCPU,Memory,Storage,Operating System,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Counts Against Quota,Data Transfer Quota,Engine,Free Overage,From Region Code,High Availability,IsFree,Overage Type,Power,Region Code,serviceName,Storage Capacity Quota,To Region Code
UC8NN6NKEK4U6KT3,JRTCKXETXF,UC8NN6NKEK4U6KT3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.16666 / Hour of 16GB bundle Instance including public IPv4 address  (Windows),2025-04-01,0,Inf,Hrs,0.1666600000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,4,16GB,320GB,Windows,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:16GB_win,Bundle:16GB,,6TB,,,,,,,,us-east-1,Amazon Lightsail,,
V6CKUUZ9N8JQ663M,JRTCKXETXF,V6CKUUZ9N8JQ663M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 / GB-Month of stored snapshot data - US East (Northern Virginia),2025-04-01,0,Inf,GB-Mo,0.0500000000,USD,Lightsail Snapshot,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Snapshot,Amount of Lightsail Snapshots in GB-Month,,,,,,USE1-SnapshotUsage,,,,,,,,,,,us-east-1,Amazon Lightsail,,
WDECMQRCEZSEFYZJ,JRTCKXETXF,WDECMQRCEZSEFYZJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09408 / Hour of 8GB IPv6 bundle Instance  (Windows) ,2025-04-01,0,Inf,Hrs,0.0940800000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,8GB,160GB,Windows,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:8GB_win_IPv6,Bundle:8GB_IPv6,,5TB,,,,,,,,us-east-1,Amazon Lightsail,,
WP3MATNNP22DA5KD,JRTCKXETXF,WP3MATNNP22DA5KD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00672 / Hour of 1GB IPv6 bundle Instance ,2025-04-01,0,Inf,Hrs,0.0067200000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,1GB,40GB,Linux,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:1GB_IPv6,Bundle:1GB_IPv6,,2TB,,,,,,,,us-east-1,Amazon Lightsail,,
WW9NA54FQNHDQSRY,JRTCKXETXF,WW9NA54FQNHDQSRY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 / GB for data transfer-out of US East (N. Virginia) above bundle quota,2025-04-01,0,Inf,GB,0.0900000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Outbound,US East (N. Virginia),AWS Region,Global,Other,USE1-Storage:500GB-DataXfer-Out-Overage-Bytes,Storage500GB-DataXferOutOverage,Yes,,,No,us-east-1,,,Storage:500GB Data Transfer,,,Amazon Lightsail,,
XR8HG4C7FKHUFM3U,JRTCKXETXF,XR8HG4C7FKHUFM3U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01344 / Hour of 2GB IPv6 bundle Instance ,2025-04-01,0,Inf,Hrs,0.0134400000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,2GB,60GB,Linux,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:2GB_IPv6,Bundle:2GB_IPv6,,3TB,,,,,,,,us-east-1,Amazon Lightsail,,
XT9FU4CN74CB7HXB,JRTCKXETXF,XT9FU4CN74CB7HXB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.02688 / Hour of 4GB IPv6 bundle Instance ,2025-04-01,0,Inf,Hrs,0.0268800000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,4GB,80GB,Linux,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:4GB_IPv6,Bundle:4GB_IPv6,,4TB,,,,,,,,us-east-1,Amazon Lightsail,,
XUWT4YKVA2BPM4VX,JRTCKXETXF,XUWT4YKVA2BPM4VX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 / GB total data transfer-out of US East (N. Virginia) bundle quota,2025-04-01,0,Inf,GB,0.0000000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Outbound,US East (N. Virginia),AWS Region,Global,Other,USE1-Storage:25GB-TotalDataXfer-Out-Bytes,Storage25GB-DataXferOut,Yes,,,NA,us-east-1,,,Storage:25GB Data Transfer,,,Amazon Lightsail,,
Y8S55Q9C7QEMHEF5,JRTCKXETXF,Y8S55Q9C7QEMHEF5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.51075 / Hour of 64GB IPv6 bundle Instance,2025-04-01,0,Inf,Hrs,0.5107500000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,16,64GB,1280GB,Linux,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:64GB_IPv6,Bundle:64GB_IPv6,,8TB,,,,,,,,us-east-1,Amazon Lightsail,,
YKTGSRR6SPX5MT2T,JRTCKXETXF,YKTGSRR6SPX5MT2T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.00 / Storage Bundle:100GB in US East (N. Virginia),2025-04-01,0,Inf,Bundles,3.0000000000,USD,Lightsail Storage,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail object storage,Lightsail object storage bundle subscription fee,,,,,,USE1-Storage-BundleUsage:100GB,Storage-Bundle:100GB,,250GB,,,,,,,,us-east-1,Amazon Lightsail,100GB,
YS7SUSJT8STVWAJ8,JRTCKXETXF,YS7SUSJT8STVWAJ8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.32795 / Hour of 32GB bundle Instance including public IPv4 address  (Windows),2025-04-01,0,Inf,Hrs,0.3279500000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,8,32GB,640GB,Windows,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:32GB_win,Bundle:32GB,,7TB,,,,,,,,us-east-1,Amazon Lightsail,,
Z6NERQDE765SRMU7,JRTCKXETXF,Z6NERQDE765SRMU7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3091 / Hour of 8GB High Availability Database bundle,2025-04-01,0,Inf,Hrs,0.3091400000,USD,Lightsail Database,AmazonLightsail,US East (N. Virginia),AWS Region,2,8GB,240GB,,Lightsail Database,Number of Lightsail Database hours,,,,,,USE1-DatabaseUsage:8GB_ha,RelationalDatabase,,0.2TB,MySQL/PostgreSQL,,,Yes,,,,us-east-1,Amazon Lightsail,,
Z979Z6X5TVF227ZE,JRTCKXETXF,Z979Z6X5TVF227ZE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05376 / Hour of 4GB IPv6 bundle Instance  (Windows) ,2025-04-01,0,Inf,Hrs,0.0537600000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,4GB,80GB,Windows,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:4GB_win_IPv6,Bundle:4GB_IPv6,,4TB,,,,,,,,us-east-1,Amazon Lightsail,,
ZPKAQ29QSV8FZMYW,JRTCKXETXF,ZPKAQ29QSV8FZMYW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05376 / Hour of 8GB IPv6 bundle Instance ,2025-04-01,0,Inf,Hrs,0.0537600000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,8GB,160GB,Linux,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:8GB_IPv6,Bundle:8GB_IPv6,,5TB,,,,,,,,us-east-1,Amazon Lightsail,,
