SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Availability,Storage Class,Volume Type,Fee Code,Fee Description,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Durability,From Region Code,Overhead,Region Code,serviceName,To Region Code
4554PUQ2VACUPW63,JRTCKXETXF,4554PUQ2VACUPW63.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - US East (N. Virginia) Data Transfer for Replication Time Control to US West (Oregon),2025-05-01,0,Inf,GB,0.0000000000,USD,,AmazonS3,,,,,,,,,,InterRegion Inbound,US East (N. Virginia),AWS Region,US West (Oregon),AWS Region,USW2-USE1-S3RTC-In-Bytes,,,us-east-1,,,Amazon Simple Storage Service,us-west-2
48D726HWAPZSYSVF,JRTCKXETXF,48D726HWAPZSYSVF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - US East (N. Virginia) Data Transfer for Replication Time Control to Asia Pacific (Melbourne),2025-05-01,0,Inf,GB,0.0000000000,USD,,AmazonS3,,,,,,,,,,InterRegion Inbound,US East (N. Virginia),AWS Region,Asia Pacific (Melbourne),AWS Region,APS6-USE1-S3RTC-In-Bytes,,,us-east-1,,,Amazon Simple Storage Service,ap-southeast-4
49BXGR3Y6ZAWVGBA,JRTCKXETXF,49BXGR3Y6ZAWVGBA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - US East (N. Virginia) Data Transfer for Replication Time Control to Asia Pacific (Singapore),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,US East (N. Virginia),AWS Region,Asia Pacific (Singapore),AWS Region,USE1-APS1-S3RTC-Out-Bytes,,,us-east-1,,,Amazon Simple Storage Service,ap-southeast-1
4BQXVPQRWAGXW65M,JRTCKXETXF,4BQXVPQRWAGXW65M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - Europe (Zurich) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,Europe (Zurich),AWS Region,US East (N. Virginia),AWS Region,EUC2-USE1-S3RTC-Out-Bytes,,,eu-central-2,,,Amazon Simple Storage Service,us-east-1
4EC2C7PX26RBK44R,JRTCKXETXF,4EC2C7PX26RBK44R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - US East (N. Virginia) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0000000000,USD,,AmazonS3,,,,,,,,,,IntraRegion Inbound,US East (N. Virginia),AWS Region,US East (N. Virginia),AWS Region,USE1-USE1-S3RTC-In-Bytes,,,us-east-1,,,Amazon Simple Storage Service,us-east-1
4M59DTVKS6W83MY8,JRTCKXETXF,4M59DTVKS6W83MY8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.004 per GB-Month prorated for small objects deleted or overwritten before 90 days in Glacier Instant Retrieval,2025-05-01,0,Inf,GB-Mo,0.0040000000,USD,,AmazonS3,US East (N. Virginia),AWS Region,,,,S3:EarlyDelete-GIR-SmallObjects,Pro-rated fee for small objects deleted before 90 days in Glacier Instant Retrieval volume,,,,,,,,EarlyDelete-GIR-SmObjects,,,,,us-east-1,Amazon Simple Storage Service,
4P9JFU5WMRDQQNWK,JRTCKXETXF,4P9JFU5WMRDQQNWK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - US East (N. Virginia) Data Transfer for Replication Time Control to Canada West (Calgary),2025-05-01,0,Inf,GB,0.0000000000,USD,,AmazonS3,,,,,,,,,,InterRegion Inbound,US East (N. Virginia),AWS Region,Canada West (Calgary),AWS Region,CAN2-USE1-S3RTC-In-Bytes,,,us-east-1,,,Amazon Simple Storage Service,ca-west-1
4ZQ8WH57DG6GYBRV,JRTCKXETXF,4ZQ8WH57DG6GYBRV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - Asia Pacific (Osaka) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,Asia Pacific (Osaka),AWS Region,US East (N. Virginia),AWS Region,APN3-USE1-S3RTC-Out-Bytes,,,ap-northeast-3,,,Amazon Simple Storage Service,us-east-1
539HMV2RKUSB4XTK,JRTCKXETXF,539HMV2RKUSB4XTK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - US East (N. Virginia) Data Transfer for Replication Time Control to Asia Pacific (Melbourne),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,US East (N. Virginia),AWS Region,Asia Pacific (Melbourne),AWS Region,USE1-APS6-S3RTC-Out-Bytes,,,us-east-1,,,Amazon Simple Storage Service,ap-southeast-4
5766YDC9NUQK9C9N,JRTCKXETXF,5766YDC9NUQK9C9N.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - Asia Pacific (Sydney) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,Asia Pacific (Sydney),AWS Region,US East (N. Virginia),AWS Region,APS2-USE1-S3RTC-Out-Bytes,,,ap-southeast-2,,,Amazon Simple Storage Service,us-east-1
