SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,LeaseContractLength,PurchaseOption,OfferingClass,Product Family,serviceCode,Description,Location,Location Type,Instance Type,Current Generation,vCPU,Memory,Storage,I/O,Storage Media,usageType,operation,ConcurrencyScalingFreeUsage,ECU,Payment Option,Pricing Unit,Region Code,serviceName,Term,Usage Family
E5AB8HE46XNNWE2Z,6QCMYABX3D,E5AB8HE46XNNWE2Z.6QCMYABX3D.6YS6EN2CT7,Reserved,Redshift Serverless,redshift.serverless reserved instance applied,2025-05-12,0,Inf,RPU-Hr,0.0000000000,USD,1yr,All Upfront,standard,Serverless,AmazonRedshift,Redshift Serverless compute charges,US East (N. Virginia),AWS Region,,,,,,,,USE1-Redshift:ServerlessUsage,RunServerlessCompute:001,,,,,us-east-1,Amazon Redshift,,
E5AB8HE46XNNWE2Z,6QCMYABX3D,E5AB8HE46XNNWE2Z.6QCMYABX3D.2TG2D8R56U,Reserved,Upfront Fee,2025-05-12,,,Quantity,2497,USD,1yr,All Upfront,standard,Serverless,AmazonRedshift,Redshift Serverless compute charges,US East (N. Virginia),AWS Region,,,,,,,,USE1-Redshift:ServerlessUsage,RunServerlessCompute:001,,,,,us-east-1,Amazon Redshift,,
E5AB8HE46XNNWE2Z,JRTCKXETXF,E5AB8HE46XNNWE2Z.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.375 per RPU-Hr for Redshift serverless usage in US East (N. Virginia),2025-05-01,0,Inf,RPU-Hr,0.3750000000,USD,,,,Serverless,AmazonRedshift,Redshift Serverless compute charges,US East (N. Virginia),AWS Region,,,,,,,,USE1-Redshift:ServerlessUsage,RunServerlessCompute:001,,,,,us-east-1,Amazon Redshift,,
F9XR4BEYFV59FJ3A,JRTCKXETXF,F9XR4BEYFV59FJ3A.JRTCKXETXF.6YS6EN2CT7,OnDemand,Storage charges with Redshift managed storage,2025-05-01,0,Inf,GB-Mo,0.0240000000,USD,,,,Redshift Managed Storage,AmazonRedshift,Storage charges with Redshift managed storage,US East (N. Virginia),AWS Region,ra3.large,Yes,,,,,,RMS:ra3.large,,,,,,us-east-1,Amazon Redshift,,RA3
FZ5HWYT9J344VBNK,JRTCKXETXF,FZ5HWYT9J344VBNK.JRTCKXETXF.6YS6EN2CT7,OnDemand,Redshift Cross Region Data Sharing transfer charges,2025-05-01,0,Inf,GB,0.0200000000,USD,,,,Redshift Inter Region Data Transfer,AmazonRedshift,Redshift Cross-Region Data Sharing Charges,US East (N. Virginia),AWS Region,,,,,,,,USE1-Redshift:InterRegionDataSharing,,,,,,us-east-1,Amazon Redshift,,
GWSDGP4SRJQEZZWK,JRTCKXETXF,GWSDGP4SRJQEZZWK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per Redshift Concurrency Scaling  DS2.8XL Node-second - Free Usage,2025-05-01,0,Inf,seconds,0.0000000000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,ds2.8xlarge,Yes,,,,,,CSFreeUsage:ds2.8xlarge,,Yes,,,,us-east-1,Amazon Redshift,,Dense Storage
HG8UH9XWXYJ697H2,JRTCKXETXF,HG8UH9XWXYJ697H2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.250 per Redshift Dense Compute Large (DC2.L) Compute Node-hour (or partial hour),2025-05-01,0,Inf,Hrs,0.2500000000,USD,,,,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,dc2.large,Yes,2,15 GiB,0.16TB SSD,0.60 GB/s,,Node:dc2.large,RunComputeNode:0001,,7,,,us-east-1,Amazon Redshift,,Dense Compute
HP6QE56YKTDKGWCM,JRTCKXETXF,HP6QE56YKTDKGWCM.JRTCKXETXF.6YS6EN2CT7,OnDemand,Storage charges with Redshift managed storage,2025-05-01,0,Inf,GB-Mo,0.0240000000,USD,,,,Redshift Managed Storage,AmazonRedshift,Storage charges with Redshift managed storage,US East (N. Virginia),AWS Region,ra3.4xlarge,Yes,,,,,,RMS:ra3.4xlarge,,,,,,us-east-1,Amazon Redshift,,RA3
M4DFHZCHKKBNGSBR,JRTCKXETXF,M4DFHZCHKKBNGSBR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per Redshift Concurrency Scaling  DC2.L Node-second - Free Usage,2025-05-01,0,Inf,seconds,0.0000000000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,dc2.large,Yes,,,,,,CSFreeUsage:dc2.large,,Yes,,,,us-east-1,Amazon Redshift,,Dense Compute
NHY3WJ6CD9BQK373,JRTCKXETXF,NHY3WJ6CD9BQK373.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00362 per Redshift Concurrency Scaling RA3.16XL Node-second,2025-05-01,0,Inf,seconds,0.0036200000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.16xlarge,Yes,,,,,,CS:ra3.16xlarge,,No,,,,us-east-1,Amazon Redshift,,RA3
