SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,usageType,operation,Region Code,serviceName
MANJZSEA5EU4NHEA,JRTCKXETXF,MANJZSEA5EU4NHEA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per ACU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS ACU Monitored - CreateDBInstance:0011,USE1-FreeRDSACUMonitored,CreateDBInstance:0011,us-east-1,Amazon GuardDuty
MC7UYVC4V3769Z3Q,JRTCKXETXF,MC7UYVC4V3769Z3Q.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0012,USE1-PaidRDSACUMonitored,CreateDBInstance:0012,us-east-1,Amazon GuardDuty
MEW4RCPE4R4ZBHTH,JRTCKXETXF,MEW4RCPE4R4ZBHTH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1 per vCPU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,1.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS vCPU Monitored - CreateDBInstance:0020,USE1-PaidRDSvCPUMonitored,CreateDBInstance:0020,us-east-1,Amazon GuardDuty
MHH6GB2KQR9AHUFD,JRTCKXETXF,MHH6GB2KQR9AHUFD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0015,USE1-PaidRDSACUMonitored,CreateDBInstance:0015,us-east-1,Amazon GuardDuty
MJA8XDURNCHQZHUA,JRTCKXETXF,MJA8XDURNCHQZHUA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per GB for PaidOnDemandEBSVolumeDataScanned in US East (N. Virginia),2025-05-01,0,Inf,GB,0.0300000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid On Demand Malware Protection EBS Volume Data Scanned,USE1-PaidOnDemandEBSVolumeDataScanned,,us-east-1,Amazon GuardDuty
NJ4WY6RCMK6H7QYZ,JRTCKXETXF,NJ4WY6RCMK6H7QYZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0003,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0003,us-east-1,Amazon GuardDuty
NVKK9V5GV58FCWXW,JRTCKXETXF,NVKK9V5GV58FCWXW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0008,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0008,us-east-1,Amazon GuardDuty
PANHTVH4AFRDB8UE,JRTCKXETXF,PANHTVH4AFRDB8UE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0009,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0009,us-east-1,Amazon GuardDuty
PBUSD7DTGCS4WP4A,JRTCKXETXF,PBUSD7DTGCS4WP4A.JRTCKXETXF.C2QCTD4VXQ,OnDemand,$1.5 per vCPU for the first 500 EC2 vCPU / month monitored in US East (N. Virginia) region,2025-05-01,0,500,vCPU-Months,1.5000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid EC2 vCPU Monitored,USE1-PaidEC2vCPUMonitored,,us-east-1,Amazon GuardDuty
PBUSD7DTGCS4WP4A,JRTCKXETXF,PBUSD7DTGCS4WP4A.JRTCKXETXF.JJUTPMMDBH,OnDemand,$0.75 per vCPU for the next 4500 EC2 vCPU / month monitored in US East (N. Virginia) region,2025-05-01,500,5000,vCPU-Months,0.7500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid EC2 vCPU Monitored,USE1-PaidEC2vCPUMonitored,,us-east-1,Amazon GuardDuty
PBUSD7DTGCS4WP4A,JRTCKXETXF,PBUSD7DTGCS4WP4A.JRTCKXETXF.YKYQ4272N3,OnDemand,$0.25 per vCPU for above 5000 EC2 vCPU / month monitored in US East (N. Virginia) region,2025-05-01,5000,Inf,vCPU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid EC2 vCPU Monitored,USE1-PaidEC2vCPUMonitored,,us-east-1,Amazon GuardDuty
PXTAN6UDSEZEEUUP,JRTCKXETXF,PXTAN6UDSEZEEUUP.JRTCKXETXF.C2QCTD4VXQ,OnDemand,$1.00 per GB for the first 500 GB / month of data analyzed US East (N.Virginia) region,2025-05-01,0,500,GB,1.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Data Events Processed,USE1-PaidEventsAnalyzed-Bytes,,us-east-1,Amazon GuardDuty
PXTAN6UDSEZEEUUP,JRTCKXETXF,PXTAN6UDSEZEEUUP.JRTCKXETXF.FNVAXVYQW3,OnDemand,$0.50 per GB for the next 2000 GB / month of data analyzed US East (N.Virginia) region,2025-05-01,500,2500,GB,0.5000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Data Events Processed,USE1-PaidEventsAnalyzed-Bytes,,us-east-1,Amazon GuardDuty
PXTAN6UDSEZEEUUP,JRTCKXETXF,PXTAN6UDSEZEEUUP.JRTCKXETXF.HUSW68NB95,OnDemand,$0.25 per GB for the next 7500 GB / month of data analyzed US East (N.Virginia) region,2025-05-01,2500,10000,GB,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Data Events Processed,USE1-PaidEventsAnalyzed-Bytes,,us-east-1,Amazon GuardDuty
PXTAN6UDSEZEEUUP,JRTCKXETXF,PXTAN6UDSEZEEUUP.JRTCKXETXF.B536CJ4M58,OnDemand,$0.15 per GB over 10000 GB / month of data analyzed US East (N.Virginia) region,2025-05-01,10000,Inf,GB,0.1500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid Data Events Processed,USE1-PaidEventsAnalyzed-Bytes,,us-east-1,Amazon GuardDuty
QP8TFT296CZ22TRC,JRTCKXETXF,QP8TFT296CZ22TRC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per ACU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS ACU Monitored - CreateDBInstance:0021,USE1-FreeRDSACUMonitored,CreateDBInstance:0021,us-east-1,Amazon GuardDuty
R33U345GJHAJ6H99,JRTCKXETXF,R33U345GJHAJ6H99.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per ACU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS ACU Monitored - CreateDBInstance:0012,USE1-FreeRDSACUMonitored,CreateDBInstance:0012,us-east-1,Amazon GuardDuty
RF3JCXMYUWUCCH69,JRTCKXETXF,RF3JCXMYUWUCCH69.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1 per vCPU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,1.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS vCPU Monitored - CreateDBInstance:0010,USE1-PaidRDSvCPUMonitored,CreateDBInstance:0010,us-east-1,Amazon GuardDuty
RNJT5SZG6ENR37TR,JRTCKXETXF,RNJT5SZG6ENR37TR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0009,USE1-PaidRDSACUMonitored,CreateDBInstance:0009,us-east-1,Amazon GuardDuty
S8D79MAS3RAUFZPH,JRTCKXETXF,S8D79MAS3RAUFZPH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0015,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0015,us-east-1,Amazon GuardDuty
