SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,ComputeType,ML Activity,Region Code,serviceName
6G8QD4YDW3P3AYCG,JRTCKXETXF,6G8QD4YDW3P3AYCG.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,7.0900000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_G5_12XLARGE,CreateTrainedModel,,Training-ML_G5_12XLARGE,us-east-1,AWS Clean Rooms
6GAA9QBUHVF2ZQ4X,JRTCKXETXF,6GAA9QBUHVF2ZQ4X.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,28.1520000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_P3_16XLARGE,StartTrainedModelInferenceJob,,Inference-ML_P3_16XLARGE,us-east-1,AWS Clean Rooms
6VKHUKMMQEMXPFDU,JRTCKXETXF,6VKHUKMMQEMXPFDU.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,5.1410000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C7I_24XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C7I_24XLARGE,us-east-1,AWS Clean Rooms
72EFQP67T6RYQ69N,JRTCKXETXF,72EFQP67T6RYQ69N.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.00 per CRPU-Hr for CleanRooms-SQL-Compute:RunCustomSQLAnalysis in US East (N. Virginia),2025-03-01,0,Inf,CRPU-Hr,2.0000000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-CleanRooms-SQL-Compute,RunCustomSQLAnalysis,CustomSQL,,us-east-1,AWS Clean Rooms
7V4XPVRKFVH2GPX8,JRTCKXETXF,7V4XPVRKFVH2GPX8.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.2420000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M7I_XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M7I_XLARGE,us-east-1,AWS Clean Rooms
7VKNZH32EV5FHXFK,JRTCKXETXF,7VKNZH32EV5FHXFK.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.4610000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_M5_2XLARGE,CreateTrainedModel,,Training-ML_M5_2XLARGE,us-east-1,AWS Clean Rooms
7WBCMVGPDZ6AC6NR,JRTCKXETXF,7WBCMVGPDZ6AC6NR.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.8160000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C6I_4XLARGE,CreateTrainedModel,,Training-ML_C6I_4XLARGE,us-east-1,AWS Clean Rooms
86KKBR7Z8CXM4S9G,JRTCKXETXF,86KKBR7Z8CXM4S9G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per 1,000 profiles,2025-03-01,0,Inf,Profiles,0.0002500000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-StartAudienceExportJob,StartAudienceExportJob,,Inference,us-east-1,AWS Clean Rooms
8BRRHJZUF67CE7R5,JRTCKXETXF,8BRRHJZUF67CE7R5.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,7.2580000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_R5_24XLARGE,CreateTrainedModel,,Training-ML_R5_24XLARGE,us-east-1,AWS Clean Rooms
8BXENRB3VYXXK3JU,JRTCKXETXF,8BXENRB3VYXXK3JU.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.1150000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_M6I_LARGE,CreateTrainedModel,,Training-ML_M6I_LARGE,us-east-1,AWS Clean Rooms
8MSTVEGTEV8KBBEJ,JRTCKXETXF,8MSTVEGTEV8KBBEJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.4780000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C4_2XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C4_2XLARGE,us-east-1,AWS Clean Rooms
8NA2BKMYTCJFENWV,JRTCKXETXF,8NA2BKMYTCJFENWV.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.2140000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C7I_XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C7I_XLARGE,us-east-1,AWS Clean Rooms
8VZKPQ49TZPWQW43,JRTCKXETXF,8VZKPQ49TZPWQW43.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,3.2640000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C6I_16XLARGE,CreateTrainedModel,,Training-ML_C6I_16XLARGE,us-east-1,AWS Clean Rooms
8ZX8HH8YDKS96NHW,JRTCKXETXF,8ZX8HH8YDKS96NHW.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,47.1106000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_P4DE_24XLARGE,CreateTrainedModel,,Training-ML_P4DE_24XLARGE,us-east-1,AWS Clean Rooms
9A2HYTF44DADA9KE,JRTCKXETXF,9A2HYTF44DADA9KE.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.8570000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C7I_4XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C7I_4XLARGE,us-east-1,AWS Clean Rooms
9FPPFRZHWX3EESJ6,JRTCKXETXF,9FPPFRZHWX3EESJ6.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,2.5700000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C7I_12XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C7I_12XLARGE,us-east-1,AWS Clean Rooms
9HYRV7G5EYGKV9QT,JRTCKXETXF,9HYRV7G5EYGKV9QT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.115 per hours for USE1-TrainingInstanceHours-ML_M5_LARGE in US East (N. Virginia),2025-03-01,0,Inf,hours,0.1150000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_M5_LARGE,CreateTrainedModel,,Training-ML_M5_LARGE,us-east-1,AWS Clean Rooms
9JVWASDVS7FAJEUC,JRTCKXETXF,9JVWASDVS7FAJEUC.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,7.3730000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M6I_32XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M6I_32XLARGE,us-east-1,AWS Clean Rooms
9QQBAUXGQSSHDY9M,JRTCKXETXF,9QQBAUXGQSSHDY9M.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.9600000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M4_4XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M4_4XLARGE,us-east-1,AWS Clean Rooms
9VVYDQPK3MH28P27,JRTCKXETXF,9VVYDQPK3MH28P27.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0025 per 1,000 records,2025-03-01,0,Inf,Records,0.0000025000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-NumberOfInferenceRecords,StartTrainedModelInferenceJob,,Inference,us-east-1,AWS Clean Rooms
9ZTMBS9BWU2CWYGG,JRTCKXETXF,9ZTMBS9BWU2CWYGG.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,1.8360000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C5_9XLARGE,CreateTrainedModel,,Training-ML_C5_9XLARGE,us-east-1,AWS Clean Rooms
A6QT5WQTCB59GVBQ,JRTCKXETXF,A6QT5WQTCB59GVBQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,1.5400000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_TRN1_2XLARGE,CreateTrainedModel,,Training-ML_TRN1_2XLARGE,us-east-1,AWS Clean Rooms
ADNF3YUS5G94AU5H,JRTCKXETXF,ADNF3YUS5G94AU5H.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.8160000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C5_4XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C5_4XLARGE,us-east-1,AWS Clean Rooms
AECDU4GPGQRBQAFG,JRTCKXETXF,AECDU4GPGQRBQAFG.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.2390000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C4_XLARGE,CreateTrainedModel,,Training-ML_C4_XLARGE,us-east-1,AWS Clean Rooms
AHMG3RE2ZAC7YJHH,JRTCKXETXF,AHMG3RE2ZAC7YJHH.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,6.5280000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C6I_32XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C6I_32XLARGE,us-east-1,AWS Clean Rooms
AM3HSSCW4YW5FWHW,JRTCKXETXF,AM3HSSCW4YW5FWHW.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,3.8400000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M4_16XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M4_16XLARGE,us-east-1,AWS Clean Rooms
ARUS7JHCZ9KHJGPW,JRTCKXETXF,ARUS7JHCZ9KHJGPW.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.1210000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M7I_LARGE,StartTrainedModelInferenceJob,,Inference-ML_M7I_LARGE,us-east-1,AWS Clean Rooms
