SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Instance Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Min Volume Size,Max Volume Size,Engine Code,Database Engine,Group,Group Description,usageType,operation,Enhanced Networking Supported,Instance Type Family,Normalization Size Factor,Processor Features,Region Code,serviceName,Volume_Optimization
DNMVDM3XFNCNBJJV,JRTCKXETXF,DNMVDM3XFNCNBJJV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.1052 per db.r6g.4xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,2.1052000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.4xlarge,Yes,Memory optimized,16,AWS Graviton2,Up to 3.1 GHz,128 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6g.4xl,CreateDBInstance:0023,,R6G,32,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
E2MFQUTH7RAUY3QS,JRTCKXETXF,E2MFQUTH7RAUY3QS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per 1 million Replicated Write I/O requests (Amazon DocumentDB),2025-05-01,0,Inf,IOs,0.0000002000,USD,,AmazonDocDB,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,23,Amazon DocumentDB,Global Cluster I/O Operation,Global Cluster Replicated IO,ReplicatedWriteIOUsage,CreateDBInstance:0023,,,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
F3TTC8K7TVW5QUQX,JRTCKXETXF,F3TTC8K7TVW5QUQX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3 per GB-Mo for Elastic Storage Usage in US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.3000000000,USD,Database Storage,AmazonDocDB,US East (N. Virginia),AWS Region,,,,,,,,,,,SSD,General Purpose,,,23,Amazon DocumentDB,,,USE1-ElasticStorageUsage,CreateCluster,,,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
FEJVT79J2UK9KVB7,JRTCKXETXF,FEJVT79J2UK9KVB7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.5683 per db.r6gd.4xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,2.5683000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.4xlarge,Yes,Memory optimized,16,AWS Graviton2,Up to 3.1 GHz,128 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,64-bit,,NVMe SSD,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6gd.4xl,CreateDBInstance:0023,,R6GD,32,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
FQ8A62RD6N8TG9J2,JRTCKXETXF,FQ8A62RD6N8TG9J2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.5263 per db.r6g.xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.5263000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.xlarge,Yes,Memory optimized,4,AWS Graviton2,Up to 3.1 GHz,32 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6g.xl,CreateDBInstance:0023,,R6G,8,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
FUSGPEYHC8UFZBBG,JRTCKXETXF,FUSGPEYHC8UFZBBG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.0526 per db.r6g.2xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,1.0526000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.2xlarge,Yes,Memory optimized,8,AWS Graviton2,Up to 3.1 GHz,64 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6g.2xl,CreateDBInstance:0023,,R6G,16,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
G7C5MWU6WUUWA5TR,JRTCKXETXF,G7C5MWU6WUUWA5TR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.43 per db.r5.8xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,4.4312000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.8xlarge,Yes,Memory optimized,32,Intel Xeon Platinum 8175,Up to 3.1 GHz,256 GiB,,10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r5.8xl,CreateDBInstance:0023,,R5,64,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
H2KGW7B35EBSGXNN,JRTCKXETXF,H2KGW7B35EBSGXNN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.078 per db.t3.medium instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.0780000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.t3.medium,Yes,General purpose,2,Intel Skylake E5 2686 v5 (2.5 GHz),Up to 3.1 GHz,4 GiB,,Low to Moderate,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.t3.medium,CreateDBInstance:0023,,T3,4,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
HCJD294KSCEXNF76,JRTCKXETXF,HCJD294KSCEXNF76.JRTCKXETXF.6YS6EN2CT7,OnDemand,$10.2715 per db.r6gd.16xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,10.2715000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.16xlarge,Yes,Memory optimized,64,AWS Graviton2,Up to 3.1 GHz,512 GiB,,25 Gigabit,64-bit,,NVMe SSD IO-Optimized,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6gd.16xl,CreateDBInstance:0023,,R6GD,128,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
HFY3W94MJP36GT56,JRTCKXETXF,HFY3W94MJP36GT56.JRTCKXETXF.6YS6EN2CT7,OnDemand,$6.648 per db.r5.12xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,6.6480000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.12xlarge,Yes,Memory optimized,48,Intel Xeon Platinum 8175,Up to 3.1 GHz,384 GiB,,10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r5.12xl,CreateDBInstance:0023,Yes,R5,96,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
