SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Description,Location,Location Type,vCPU,Group,usageType,operation,Compute Family,Memory (GiB),Region Code,serviceName,Storage Family
R8BPVFMZRZCRJWZV,JRTCKXETXF,R8BPVFMZRZCRJWZV.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD0.06 per GB-Mo in US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0600000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,,US East (N. Virginia),AWS Region,,,USE1-Kafka.Storage.Tiered,TieredStorage,,,us-east-1,Amazon Managed Streaming for Apache Kafka,Tiered storage
U2E74RX7WAFZRMGV,JRTCKXETXF,U2E74RX7WAFZRMGV.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 6.528 per Kafka.m7g.16xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,6.5280000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,64,Broker,USE1-Kafka.m7g.16xlarge,RunBroker,m7g.16xlarge,256,us-east-1,Amazon Managed Streaming for Apache Kafka,
UB9WVPBDV4Y3WA3Y,JRTCKXETXF,UB9WVPBDV4Y3WA3Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.84 per Kafka.m5.2xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,0.8400000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,8,Broker,USE1-Kafka.m5.2xlarge,RunBroker,m5.2xlarge,32,us-east-1,Amazon Managed Streaming for Apache Kafka,
V5CG23U23V2SY36D,JRTCKXETXF,V5CG23U23V2SY36D.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.0015 per partition-hour for serverless cluster in US East (N.Virginia),2025-05-01,0,Inf,hours,0.0015000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Partition-hours,US East (N. Virginia),AWS Region,,Serverless,USE1-KafkaServerless-PartitionHours,Serverless,,,us-east-1,Amazon Managed Streaming for Apache Kafka,
VA2ZMTG8NCKJRBTS,JRTCKXETXF,VA2ZMTG8NCKJRBTS.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 9.792 per Express.m7g.12xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,9.7920000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,48,ExpressBroker,USE1-Express.m7g.12xlarge,RunBroker,express.m7g.12xlarge,192,us-east-1,Amazon Managed Streaming for Apache Kafka,
VNXUR9X639FQYMS4,JRTCKXETXF,VNXUR9X639FQYMS4.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 10.08 per Kafka.m5.24xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,10.0800000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,96,Broker,USE1-Kafka.m5.24xlarge,RunBroker,m5.24xlarge,384,us-east-1,Amazon Managed Streaming for Apache Kafka,
XKYY4SDQMSB96JH8,JRTCKXETXF,XKYY4SDQMSB96JH8.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD0.0015 per GB in US East (N. Virginia),2025-05-01,0,Inf,GB,0.0015000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,,US East (N. Virginia),AWS Region,,,USE1-Kafka.DataRetrieval.Tiered,TieredStorage,,,us-east-1,Amazon Managed Streaming for Apache Kafka,Tiered storage-DataRetrieval
YF6ZWMCTJ9T3E2GP,JRTCKXETXF,YF6ZWMCTJ9T3E2GP.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.816 per Kafka.m7g.2xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,0.8160000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,8,Broker,USE1-Kafka.m7g.2xlarge,RunBroker,m7g.2xlarge,32,us-east-1,Amazon Managed Streaming for Apache Kafka,
YGFEYSTDCSQQADE7,JRTCKXETXF,YGFEYSTDCSQQADE7.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.05 per GB data out for serverless cluster in US East (N.Virginia),2025-05-01,0,Inf,GB,0.0500000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Per-GB data egressed,US East (N. Virginia),AWS Region,,Serverless,USE1-KafkaServerless-Out-Bytes,Serverless,,,us-east-1,Amazon Managed Streaming for Apache Kafka,
Z3QE8GAEH55NBAZU,JRTCKXETXF,Z3QE8GAEH55NBAZU.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.816 per Express.m7g.xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,0.8160000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,4,ExpressBroker,USE1-Express.m7g.xlarge,RunBroker,express.m7g.xlarge,16,us-east-1,Amazon Managed Streaming for Apache Kafka,
