SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Calling Type,Country,Region Code,serviceName
5W3FD5GF7YPP652E,JRTCKXETXF,5W3FD5GF7YPP652E.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Portugal,2022-03-01,0,Inf,Minute,0.0574910000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-PT-toll-inbound-mins,,Toll,Portugal,us-east-1,Amazon Chime Dialin
6349CZ9KEU5S296E,JRTCKXETXF,6349CZ9KEU5S296E.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Spain,2022-03-01,0,Inf,Minute,0.3384300000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-ES-tollfree-inbound-mins,,Toll Free,Spain,us-east-1,Amazon Chime Dialin
65P6T9CD362YM598,JRTCKXETXF,65P6T9CD362YM598.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Saint Lucia,2022-03-01,0,Inf,Minute,0.0119100000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-LC-tollfree-inbound-mins,,Toll Free,Saint Lucia,us-east-1,Amazon Chime Dialin
66DPYZUYSPDV53E6,JRTCKXETXF,66DPYZUYSPDV53E6.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Italy,2022-03-01,0,Inf,Minute,0.0032210000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-IT-toll-inbound-mins,,Toll,Italy,us-east-1,Amazon Chime Dialin
6DNS5SYSC7XV8JBN,JRTCKXETXF,6DNS5SYSC7XV8JBN.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Germany,2022-03-01,0,Inf,Minute,0.0032210000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-DE-toll-inbound-mins,,Toll,Germany,us-east-1,Amazon Chime Dialin
6QFF2DQNXDWQ7P4M,JRTCKXETXF,6QFF2DQNXDWQ7P4M.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Switzerland,2022-03-01,0,Inf,Minute,0.0032210000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-CH-toll-inbound-mins,,Toll,Switzerland,us-east-1,Amazon Chime Dialin
6WF9MBQ5FUUSU6AH,JRTCKXETXF,6WF9MBQ5FUUSU6AH.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Denmark,2022-03-01,0,Inf,Minute,0.3374300000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-DK-tollfree-inbound-mins,,Toll Free,Denmark,us-east-1,Amazon Chime Dialin
72DS3H66XWFJUEGX,JRTCKXETXF,72DS3H66XWFJUEGX.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Hungary,2022-03-01,0,Inf,Minute,0.0844000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-HU-toll-inbound-mins,,Toll,Hungary,us-east-1,Amazon Chime Dialin
7HZB3W73TPHTZEM2,JRTCKXETXF,7HZB3W73TPHTZEM2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Norway,2022-03-01,0,Inf,Minute,0.0146760000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-NO-toll-inbound-mins,,Toll,Norway,us-east-1,Amazon Chime Dialin
7M6S3PUJWR8EFCR4,JRTCKXETXF,7M6S3PUJWR8EFCR4.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for American Samoa,2022-03-01,0,Inf,Minute,0.0119100000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-AS-tollfree-inbound-mins,,Toll Free,American Samoa,us-east-1,Amazon Chime Dialin
7MAKA79W93DEAM8Q,JRTCKXETXF,7MAKA79W93DEAM8Q.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Netherlands,2022-03-01,0,Inf,Minute,0.4000000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-NL-tollfree-inbound-mins,,Toll Free,Netherlands,us-east-1,Amazon Chime Dialin
7QF3SPSFMDE599H5,JRTCKXETXF,7QF3SPSFMDE599H5.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Jamaica,2022-03-01,0,Inf,Minute,0.0022160000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-JM-toll-inbound-mins,,Toll,Jamaica,us-east-1,Amazon Chime Dialin
