SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Min Volume Size,Max Volume Size,usageType,operation,Availability Zone,Capacity Usage,Dedicated EBS Throughput,Enhanced Networking Supported,Processor Features,Region Code,serviceName,Type
8PPW9FTR8BW8THUY,JRTCKXETXF,8PPW9FTR8BW8THUY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3277 per DMS Serverless 2 DCU capacity Multi-AZ DCU hours,2025-03-01,0,Inf,DCU-Hr,0.3277377590,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,USE1-DMSServerlessRepMultiAZCapacityUsg:2,CreateDMSInstance,Multiple,2,,,,us-east-1,AWS Database Migration Service,Serverless
8YYKQJ8T5UQFUDCT,JRTCKXETXF,8YYKQJ8T5UQFUDCT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.904 per On Demand DMS c6i.4xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,1.9040000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c6i.4xlarge,Yes,Compute optimized,16,Intel Xeon Platinum,3.0 Ghz,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.c6i.4xlarge,CreateDMSInstance,Multiple,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
97DE2UU4DPFEQF3F,JRTCKXETXF,97DE2UU4DPFEQF3F.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.476 per On Demand DMS c5.xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,0.4760000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c5.xlarge,Yes,Compute optimized,4,Intel Xeon Platinum,3.0 Ghz,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.c5.xlarge,CreateDMSInstance,Multiple,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
A4ZNUUFDM6FKQPTZ,JRTCKXETXF,A4ZNUUFDM6FKQPTZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$10.9548 per On Demand DMS c5.18xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,10.9548000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c5.18xlarge,Yes,Compute optimized,32,Intel Xeon Platinum,Up to 3.0 GHz,32 GiB,100 GB,Up to 10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.c5.18xlarge,CreateDMSInstance,Multiple,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
AP7X7ZMZPP7YUTMA,JRTCKXETXF,AP7X7ZMZPP7YUTMA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.234 per On Demand DMS c4.2xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,1.2340000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c4.2xlarge,Yes,General purpose,8,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,15 GiB,100 GB,High,64-bit,,,,,Multi-AZUsg:dms.c4.2xlarge,CreateDMSInstance,Multiple,,1000 Mbps,Yes,Intel AVX; Intel AVX2; Intel Turbo,us-east-1,AWS Database Migration Service,
B32BRSP623WDJRQS,JRTCKXETXF,B32BRSP623WDJRQS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7.3032 per On Demand DMS c6i.24xlarge Instance Hour,2025-03-01,0,Inf,Hrs,7.3032000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c6i.24xlarge,Yes,Compute optimized,32,Intel Xeon Platinum,Up to 3.0 GHz,32 GiB,100 GB,Up to 10 Gigabit,64-bit,,,,,InstanceUsg:dms.c6i.24xlarge,CreateDMSInstance,Single,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
B8KJ5TXDY7AJ3FYR,JRTCKXETXF,B8KJ5TXDY7AJ3FYR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.353 per On Demand DMS r6i.xlarge Instance Hour,2025-03-01,0,Inf,Hrs,0.3530000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r6i.xlarge,Yes,Memory optimized,4,Intel Xeon Platinum 8000,Up to 3.1 GHz,32 GiB,EBS Only,10 Gigabit,64-bit,,,,,InstanceUsg:dms.r6i.xlarge,CreateDMSInstance,Single,,N/A,Yes,N/A,us-east-1,AWS Database Migration Service,
BC64DCJZ3XNCEMZX,JRTCKXETXF,BC64DCJZ3XNCEMZX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7.21728 per On Demand DMS r6i.16xlarge Instance Hour,2025-03-01,0,Inf,Hrs,7.2172800000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r6i.16xlarge,Yes,Memory optimized,64,Intel Xeon Platinum 8000,Up to 3.1 GHz,128 GiB,EBS Only,10 Gigabit,64-bit,,,,,InstanceUsg:dms.r6i.16xlarge,CreateDMSInstance,Single,,N/A,Yes,N/A,us-east-1,AWS Database Migration Service,
BNF9QSD4MVTGWU9W,JRTCKXETXF,BNF9QSD4MVTGWU9W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.6516 per On Demand DMS c5.12xlarge Instance Hour,2025-03-01,0,Inf,Hrs,3.6516000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c5.12xlarge,Yes,Compute optimized,32,Intel Xeon Platinum,Up to 3.0 GHz,32 GiB,100 GB,Up to 10 Gigabit,64-bit,,,,,InstanceUsg:dms.c5.12xlarge,CreateDMSInstance,Single,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
CCB2V6YZ6TKR5UXC,JRTCKXETXF,CCB2V6YZ6TKR5UXC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.235 per On Demand DMS c4.4xlarge Instance Hour,2025-03-01,0,Inf,Hrs,1.2350000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c4.4xlarge,Yes,General purpose,16,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,30 GiB,100 GB,High,64-bit,,,,,InstanceUsg:dms.c4.4xlarge,CreateDMSInstance,Single,,2000 Mbps,Yes,Intel AVX; Intel AVX2; Intel Turbo,us-east-1,AWS Database Migration Service,
