SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Storage Media,Group,Group Description,usageType,operation,Alarm Type,Database Engine Type,Instance Configuration Type,Logs Destination,Region Code,serviceName,Type,Type Description,Version
6RSABGMXGADP2M5F,JRTCKXETXF,6RSABGMXGADP2M5F.JRTCKXETXF.AQTKZ3QBDA,OnDemand,$0.05 per GB for over 50TB of vended log data delivered to S3 per month in US East (N. Virginia),2025-05-01,51200,Inf,GB,0.0500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Logs generated by Elemental MediaTailor and delivered to Amazon S3,USE1-S3-Egress-Bytes-MTLogs,,,,,Amazon S3,us-east-1,AmazonCloudWatch,,,Current
6XTVPDAM3VF25UTA,A429C66SYZ,6XTVPDAM3VF25UTA.A429C66SYZ.V7GB4D473V,OnDemand,Global,2025-05-01,0,5,GB-Mo,0.0000000000,USD,,Bundle,AmazonCloudWatch,Any,AWS Region,,CW-MonthlyFree-Archival,Monthly free usage  of archived storage,Global-TimedStorage-ByteHrs,,,,,,,AmazonCloudWatch,,,
78W76959H8DFSPXM,JRTCKXETXF,78W76959H8DFSPXM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per Evidently Analysis Unit - first 10 million units free trial,2025-05-01,0,Inf,Units,0.0000000000,USD,,,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Evidently,CloudWatch Evidently free EAU,USE1-CW:Evidently-free-eau,evidently,,,,,us-east-1,AmazonCloudWatch,,,
7BK9TRWG8E43D4AJ,JRTCKXETXF,7BK9TRWG8E43D4AJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30 per alarm metric month (high resolution) - US East (Northern Virginia),2025-05-01,0,Inf,Alarms,0.3000000000,USD,,Alarm,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Alarm,CloudWatch Alarms,CW:HighResAlarmMonitorUsage,,High Resolution,,,,us-east-1,AmazonCloudWatch,,,
7WTV6SFX2HRJQKW5,JRTCKXETXF,7WTV6SFX2HRJQKW5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per Evidently event - first time 3 million events free trial,2025-05-01,0,Inf,Events,0.0000000000,USD,,,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Evidently,CloudWatch Evidently free event,USE1-CW:Evidently-free-event,evidently,,,,,us-east-1,AmazonCloudWatch,,,
85NYBRRPURC8EH9H,A429C66SYZ,85NYBRRPURC8EH9H.A429C66SYZ.V7GB4D473V,OnDemand,Global,2025-05-01,0,5,GB,0.0000000000,USD,,Bundle,AmazonCloudWatch,Any,AWS Region,,CW-MonthlyFree-DataDelivery,Monthly free usage of data delivered,Global-DataDelivery-Bytes,,,,,,,AmazonCloudWatch,,,
8ETUXTX3PYWVY3QV,JRTCKXETXF,8ETUXTX3PYWVY3QV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per GB of log data converted to Parquet format - US East (N. Virginia),2025-05-01,0,Inf,GB,0.0300000000,USD,,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Converted Logs,Log delivered from AWS services to log destinations other than CloudWatch,USE1-S3-Egress-InputBytes,ParquetConversion,,,,Amazon S3,us-east-1,AmazonCloudWatch,,,Current
8F6VXFPPPW3MWGAY,JRTCKXETXF,8F6VXFPPPW3MWGAY.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.50 per GB of CloudFront vended logs ingested in Standard log class for the first 10TB  -  US East (Northern Virginia),2025-05-01,0,10240,GB,0.5000000000,USD,SSNSJENVU973ECHE,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Ingested Logs,Logs generated by Amazon CloudFront and delivered to CloudWatch-Standard as Vended Logs,USE1-VendedLog-Bytes-CFLogs,PutLogEvents,,,,Amazon CloudWatch Logs,us-east-1,AmazonCloudWatch,,,Current
8F6VXFPPPW3MWGAY,JRTCKXETXF,8F6VXFPPPW3MWGAY.JRTCKXETXF.JM86AE7V7B,OnDemand,$0.25 per GB of CloudFront vended logs ingested in Standard log class for the next 20TB  -  US East (Northern Virginia),2025-05-01,10240,30720,GB,0.2500000000,USD,SSNSJENVU973ECHE,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Ingested Logs,Logs generated by Amazon CloudFront and delivered to CloudWatch-Standard as Vended Logs,USE1-VendedLog-Bytes-CFLogs,PutLogEvents,,,,Amazon CloudWatch Logs,us-east-1,AmazonCloudWatch,,,Current
8F6VXFPPPW3MWGAY,JRTCKXETXF,8F6VXFPPPW3MWGAY.JRTCKXETXF.AMET9K77J3,OnDemand,$0.10 per GB of CloudFront vended logs ingested in Standard log class for the next 20TB  -  US East (Northern Virginia),2025-05-01,30720,51200,GB,0.1000000000,USD,SSNSJENVU973ECHE,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Ingested Logs,Logs generated by Amazon CloudFront and delivered to CloudWatch-Standard as Vended Logs,USE1-VendedLog-Bytes-CFLogs,PutLogEvents,,,,Amazon CloudWatch Logs,us-east-1,AmazonCloudWatch,,,Current
