SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Integrating API,Integrating Feature,Integrating Service,Region Code,serviceName,Workforce Type
FRGSBSDNVC2H7TJG,JRTCKXETXF,FRGSBSDNVC2H7TJG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.720 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.7200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.720,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.720
FUMPTSAYJHJNMJYD,JRTCKXETXF,FUMPTSAYJHJNMJYD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.720 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.7200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.720,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.720
HK7RP35KWTPFGXPY,JRTCKXETXF,HK7RP35KWTPFGXPY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.012 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.0120000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.012,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.012
HT8XTVZEMDPGXEQV,JRTCKXETXF,HT8XTVZEMDPGXEQV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.840 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.8400000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.840,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.840
HZV3RFBC2ADVCWQP,JRTCKXETXF,HZV3RFBC2ADVCWQP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.960 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.9600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.960,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.960
NDRSVR5TZMKM9M69,JRTCKXETXF,NDRSVR5TZMKM9M69.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.600 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.6000000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.600,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.600
NPC3SM43FMMDXUBE,JRTCKXETXF,NPC3SM43FMMDXUBE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.024 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.0240000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.024,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.024
NY2H358R9HHU2GN5,JRTCKXETXF,NY2H358R9HHU2GN5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.480 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.4800000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.480,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.480
PFEA2N2UPWNS8JES,JRTCKXETXF,PFEA2N2UPWNS8JES.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.080 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,1.0800000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt1.080,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt1.080
PHZQ65J6HVHP67TG,JRTCKXETXF,PHZQ65J6HVHP67TG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.480 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.4800000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.480,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.480
