SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,vCPU,Clock Speed,Memory,Network Performance,Storage Class,Provisioned,License Model,Deployment Option,usageType,operation,Broker Engine,Enhanced Networking Support,Normalization Size Factor,Region Code,serviceName
QD5RWQPY9J5K3CQW,JRTCKXETXF,QD5RWQPY9J5K3CQW.JRTCKXETXF.6YS6EN2CT7,OnDemand,active-standby mq.t2.micro hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0600000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,1,NA,1 GiB,Moderate,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.t2.micro,CreateBroker:0001,ActiveMQ,No,0.5,us-east-1,Amazon MQ
RDGQY5RMTVZ998SF,JRTCKXETXF,RDGQY5RMTVZ998SF.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.m5.4xlarge hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,2.3040000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,16,2.5 GHz,64 GiB,High,,,No license required,Single-AZ,USE1-Single-AZUsage:mq.m5.4xl,CreateBroker:0001,ActiveMQ,Yes,32,us-east-1,Amazon MQ
RXB9RXU55DCN4BFT,JRTCKXETXF,RXB9RXU55DCN4BFT.JRTCKXETXF.6YS6EN2CT7,OnDemand,3-node cluster mq.m5.2xlarge hour (or partial hour) running RabbitMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,3.4560000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,8,2.5 GHz,32 GiB,High,,,No license required,Multi-AZ,USE1-RabbitMQ-3-InstanceUsage:mq.m5.2xl,CreateBroker:0001,RabbitMQ,Yes,48,us-east-1,Amazon MQ
S7DZRB9YQVHDFFPX,JRTCKXETXF,S7DZRB9YQVHDFFPX.JRTCKXETXF.6YS6EN2CT7,OnDemand,active-standby mq.t3.micro hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0540800000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,NA,1 GiB,up to 5 Gigabit,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.t3.micro,CreateBroker:0001,ActiveMQ,Yes,0.5,us-east-1,Amazon MQ
SMTW8Q7EA2PWW2H2,JRTCKXETXF,SMTW8Q7EA2PWW2H2.JRTCKXETXF.6YS6EN2CT7,OnDemand,active-standby mq.m5.2xlarge hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,2.3040000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,8,2.5 GHz,32 GiB,High,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.m5.2xl,CreateBroker:0001,ActiveMQ,Yes,16,us-east-1,Amazon MQ
TDGX6TCFZUTNNJU6,JRTCKXETXF,TDGX6TCFZUTNNJU6.JRTCKXETXF.6YS6EN2CT7,OnDemand,Cross-region data replication for ActiveMQ broker mq.m5.2xl hour (or partial hour) in US East (N.Virginia),2025-04-01,0,Inf,Hrs,0.1000000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,8,2.5 GHz,32 GiB,High,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.m5.2xl,ActiveMQ-CRDR,ActiveMQ,Yes,16,us-east-1,Amazon MQ
UDSBRUZZZ8X6RRBW,JRTCKXETXF,UDSBRUZZZ8X6RRBW.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.t3.micro hour (or partial hour) running RabbitMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0270400000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,NA,1 GiB,up to 5 Gigabit,,,No license required,Single-AZ,USE1-RabbitMQ-Single-InstanceUsage:mq.t3.micro,CreateBroker:0001,RabbitMQ,Yes,0.5,us-east-1,Amazon MQ
VYSM2Q25P883GTN7,JRTCKXETXF,VYSM2Q25P883GTN7.JRTCKXETXF.6YS6EN2CT7,OnDemand,Cross-region data replication for ActiveMQ broker mq.m5.xlarge hour (or partial hour) in US East (N.Virginia),2025-04-01,0,Inf,Hrs,0.1000000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,4,2.5 GHz,16 GiB,High,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.m5.xlarge,ActiveMQ-CRDR,ActiveMQ,Yes,8,us-east-1,Amazon MQ
Y4ECKE6SV97UTBWY,JRTCKXETXF,Y4ECKE6SV97UTBWY.JRTCKXETXF.6YS6EN2CT7,OnDemand,3-node cluster mq.m5.xlarge hour (or partial hour) running RabbitMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,1.7280000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,4,2.5 GHz,16 GiB,High,,,No license required,Multi-AZ,USE1-RabbitMQ-3-InstanceUsage:mq.m5.xlarge,CreateBroker:0001,RabbitMQ,Yes,24,us-east-1,Amazon MQ
Y56QQ54RZZ8F3QZ3,JRTCKXETXF,Y56QQ54RZZ8F3QZ3.JRTCKXETXF.6YS6EN2CT7,OnDemand,active-standby mq.m5.large hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.5760000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,2.5 GHz,8 GiB,High,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.m5.large,CreateBroker:0001,ActiveMQ,Yes,4,us-east-1,Amazon MQ
ZK6M6QHF5KEZCXC2,JRTCKXETXF,ZK6M6QHF5KEZCXC2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Storage (Amazon EBS) used by RabbitMQ brokers (GB-months) in US East (N. Virginia),2025-04-01,0,Inf,GB-Mo,0.1000000000,USD,,Broker Storage,AmazonMQ,US East (N. Virginia),AWS Region,,,,,General Purpose,Yes,,Single-AZ,USE1-TimedStorage-RabbitMQ-ByteHrs,,,,,us-east-1,Amazon MQ
