SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,usageType,operation,Charge Type,Instance Size,OS Type,Package Type,Provisioning Type,Region Code,serviceName,Storage Type,Tier
NQE9GHDBXBH3S8WK,JRTCKXETXF,NQE9GHDBXBH3S8WK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.08 per Gigabyte for Storage - Dev Environments - Billed in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0800000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Storage-Dev-Environment-Billed,,Billed,,,,,us-east-1,CodeCatalyst,Workspace,
QDF6MAN24TWGBKY7,JRTCKXETXF,QDF6MAN24TWGBKY7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.08 per Gigabyte for DevEnvironment-Storage in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0800000000,USD,FPFSKNBQFB5B4FEC,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-DevEnvironment-Storage,,,,,,,us-east-1,CodeCatalyst,Workspace,
QR6CU8NX5JPNAGRT,JRTCKXETXF,QR6CU8NX5JPNAGRT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0108 per Minutes for Compute-4vCPU-Windows-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0108000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Windows-Provisioned-Usage,,,4vCPU,Windows,,Pre-Provisioned,us-east-1,CodeCatalyst,,
R8V3E64MYSCWN7WW,JRTCKXETXF,R8V3E64MYSCWN7WW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$20  per User/Month for Enterprise Tier User Billed in US East (N. Virginia),2023-11-01,0,Inf,Users,20.0000000000,USD,,User Fees,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Enterprise-User-Billed,,Billed,,,,,us-east-1,CodeCatalyst,,Enterprise
RKBJSWDV7RRQAQXR,JRTCKXETXF,RKBJSWDV7RRQAQXR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.23 per hours for 4vCPU-8GB-DevEnvironment-Compute in US East (N. Virginia),2023-11-01,0,Inf,hours,0.2300000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-4vCPU-8GB-DevEnvironment-Compute,,,4vCPU,MDE,,On-Demand,us-east-1,CodeCatalyst,,
SFD5D5BWMWDD8Z7K,JRTCKXETXF,SFD5D5BWMWDD8Z7K.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.23 per hour for Dev Environment 4 vCPU 8 GB Linux On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.2300000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Dev-Environment-On-Demand-Usage-Billed,,Billed,4vCPU,Dev-Environment,,On-Demand,us-east-1,CodeCatalyst,,
SMXD9Q8WKQQPBBHD,JRTCKXETXF,SMXD9Q8WKQQPBBHD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.036 per Minutes for Compute-8vCPU-Windows-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0360000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Windows-Usage,,,8vCPU,Windows,,On-Demand,us-east-1,CodeCatalyst,,
SNQVP5VHT823MKGW,JRTCKXETXF,SNQVP5VHT823MKGW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per Gigabyte for Storage - Repos - Included in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Storage-Source-Included,,Included,,,,,us-east-1,CodeCatalyst,Source,
SY5GHXCJCMU5M422,JRTCKXETXF,SY5GHXCJCMU5M422.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 2 vCPU 4 GB Linux Arm64 Pre-Provisioned Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Arm64-Provisioned-Usage-Included,,Included,2vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
TCJC3GK9UFKAA3WW,JRTCKXETXF,TCJC3GK9UFKAA3WW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 8 vCPU 16 GB Linux Arm64 On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Arm64-On-Demand-Usage-Included,,Included,8vCPU,Linux-ARM64,,On-Demand,us-east-1,CodeCatalyst,,
TQ2BAHR3TZXUN84P,JRTCKXETXF,TQ2BAHR3TZXUN84P.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per Gigabyte for Storage - Attachments - Billed in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0500000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Storage-Attachment-Billed,,Billed,,,,,us-east-1,CodeCatalyst,Attachment,
U7S92WBTKRP49WUR,JRTCKXETXF,U7S92WBTKRP49WUR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per hour for Dev Environment 8 vCPU 16 GB Linux On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Dev-Environment-On-Demand-Usage-Included,,Included,8vCPU,Dev-Environment,,On-Demand,us-east-1,CodeCatalyst,,
U8HCJH2AJ7K52BR6,JRTCKXETXF,U8HCJH2AJ7K52BR6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0136 per minutes for Compute-8vCPU-Linux-Arm64-Usage in US East (N. Virginia),2023-11-01,0,Inf,minutes,0.0136000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Arm64-Usage,,,8vCPU,Linux-ARM64,,On-Demand,us-east-1,CodeCatalyst,,
