SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Region Code,serviceName,Supported Modes
3F5ZNN2H4CAQJUUJ,JRTCKXETXF,3F5ZNN2H4CAQJUUJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Processed Medical streaming transcription request in us-east-1,2024-09-01,0,Inf,seconds,0.0012500000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-MedicalStreamingAudio,MedicalStreamingAudio,us-east-1,Amazon Transcribe,Stream to Text
P62R7VJTJDYSVXQU,JRTCKXETXF,P62R7VJTJDYSVXQU.JRTCKXETXF.XEPN5HMENM,OnDemand,USD per second for CallAnalytics:TranscribeAudio in US East (N. Virginia),0 to 250K min,2024-09-01,0,15000000,seconds,0.0005000000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-CallAnalyticsTranscribeAudio,CallAnalyticsTranscribeAudio,us-east-1,Amazon Transcribe,Transcribe Call Analytics
P62R7VJTJDYSVXQU,JRTCKXETXF,P62R7VJTJDYSVXQU.JRTCKXETXF.R5R9GNZZG6,OnDemand,USD per second for CallAnalytics:TranscribeAudio in US East (N. Virginia),250K to 1M min,2024-09-01,15000000,60000000,seconds,0.0003100000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-CallAnalyticsTranscribeAudio,CallAnalyticsTranscribeAudio,us-east-1,Amazon Transcribe,Transcribe Call Analytics
P62R7VJTJDYSVXQU,JRTCKXETXF,P62R7VJTJDYSVXQU.JRTCKXETXF.EPWSATNW8X,OnDemand,USD per second for CallAnalytics:TranscribeAudio in US East (N. Virginia),1M to 5M min,2024-09-01,60000000,300000000,seconds,0.0002300000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-CallAnalyticsTranscribeAudio,CallAnalyticsTranscribeAudio,us-east-1,Amazon Transcribe,Transcribe Call Analytics
P62R7VJTJDYSVXQU,JRTCKXETXF,P62R7VJTJDYSVXQU.JRTCKXETXF.Y5DREYKEMT,OnDemand,USD per second for CallAnalytics:TranscribeAudio in US East (N. Virginia),5M min+,2024-09-01,300000000,Inf,seconds,0.0001900000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-CallAnalyticsTranscribeAudio,CallAnalyticsTranscribeAudio,us-east-1,Amazon Transcribe,Transcribe Call Analytics
PPN4FWMUFC5Z4KFX,JRTCKXETXF,PPN4FWMUFC5Z4KFX.JRTCKXETXF.XEPN5HMENM,OnDemand,Processed streaming transcription request in us-east-1,0 to 250K min,2024-09-01,0,15000000,second,0.0004000000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-StreamingAudio,StreamingAudio,us-east-1,Amazon Transcribe,Stream to Text
PPN4FWMUFC5Z4KFX,JRTCKXETXF,PPN4FWMUFC5Z4KFX.JRTCKXETXF.R5R9GNZZG6,OnDemand,Processed streaming transcription request in us-east-1,250K to 1M min,2024-09-01,15000000,60000000,second,0.0002500000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-StreamingAudio,StreamingAudio,us-east-1,Amazon Transcribe,Stream to Text
PPN4FWMUFC5Z4KFX,JRTCKXETXF,PPN4FWMUFC5Z4KFX.JRTCKXETXF.EPWSATNW8X,OnDemand,Processed streaming transcription request in us-east-1,1M to 5M min,2024-09-01,60000000,300000000,second,0.0001700000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-StreamingAudio,StreamingAudio,us-east-1,Amazon Transcribe,Stream to Text
PPN4FWMUFC5Z4KFX,JRTCKXETXF,PPN4FWMUFC5Z4KFX.JRTCKXETXF.Y5DREYKEMT,OnDemand,Processed streaming transcription request in us-east-1,5M+,2024-09-01,300000000,Inf,second,0.0001300000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-StreamingAudio,StreamingAudio,us-east-1,Amazon Transcribe,Stream to Text
Q4ZJT4UAPZCE24TN,JRTCKXETXF,Q4ZJT4UAPZCE24TN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.001667 per seconds for HealthScribe:HealthScribeBatch in US East (N. Virginia),2024-09-01,0,Inf,seconds,0.0016670000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-HealthScribeBatch,HealthScribeBatch,us-east-1,Amazon Transcribe,Health Scribe
T83665ZJGS3A9D2A,JRTCKXETXF,T83665ZJGS3A9D2A.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00125 per seconds for MedicalTranscribeAudio:MedicalTranscribeAudio in US East (N. Virginia),2024-09-01,0,Inf,seconds,0.0012500000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-MedicalTranscribeAudio,MedicalTranscribeAudio,us-east-1,Amazon Transcribe,Medical Audio to Text
XG5JYDUXJ2JRGBD9,JRTCKXETXF,XG5JYDUXJ2JRGBD9.JRTCKXETXF.XEPN5HMENM,OnDemand,Processed transcription request in us-east-1,0 to 250K min,2024-09-01,0,15000000,second,0.0004000000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeAudio,TranscribeAudio,us-east-1,Amazon Transcribe,Audio to Text
XG5JYDUXJ2JRGBD9,JRTCKXETXF,XG5JYDUXJ2JRGBD9.JRTCKXETXF.R5R9GNZZG6,OnDemand,Processed transcription request in us-east-1,250k to 1M min,2024-09-01,15000000,60000000,second,0.0002500000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeAudio,TranscribeAudio,us-east-1,Amazon Transcribe,Audio to Text
XG5JYDUXJ2JRGBD9,JRTCKXETXF,XG5JYDUXJ2JRGBD9.JRTCKXETXF.EPWSATNW8X,OnDemand,Processed transcription request in us-east-1,1M to 5M min,2024-09-01,60000000,300000000,second,0.0001700000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeAudio,TranscribeAudio,us-east-1,Amazon Transcribe,Audio to Text
XG5JYDUXJ2JRGBD9,JRTCKXETXF,XG5JYDUXJ2JRGBD9.JRTCKXETXF.Y5DREYKEMT,OnDemand,Processed transcription request in us-east-1,5M min +,2024-09-01,300000000,Inf,second,0.0001300000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeAudio,TranscribeAudio,us-east-1,Amazon Transcribe,Audio to Text
Y8A53BNMJVW5XZ55,JRTCKXETXF,Y8A53BNMJVW5XZ55.JRTCKXETXF.XEPN5HMENM,OnDemand,USD per second for CallAnalytics:StreamingAudio in US East (N. Virginia),0 to 250K min,2024-09-01,0,15000000,seconds,0.0005000000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-CallAnalyticsStreamingAudio,CallAnalyticsStreamingAudio,us-east-1,Amazon Transcribe,Transcribe Call Analytics
Y8A53BNMJVW5XZ55,JRTCKXETXF,Y8A53BNMJVW5XZ55.JRTCKXETXF.R5R9GNZZG6,OnDemand,USD per second for CallAnalytics:StreamingAudio in US East (N. Virginia),250K to 1M min,2024-09-01,15000000,60000000,seconds,0.0003100000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-CallAnalyticsStreamingAudio,CallAnalyticsStreamingAudio,us-east-1,Amazon Transcribe,Transcribe Call Analytics
Y8A53BNMJVW5XZ55,JRTCKXETXF,Y8A53BNMJVW5XZ55.JRTCKXETXF.EPWSATNW8X,OnDemand,USD per second for CallAnalytics:StreamingAudio in US East (N. Virginia),1M to 5M min,2024-09-01,60000000,300000000,seconds,0.0002300000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-CallAnalyticsStreamingAudio,CallAnalyticsStreamingAudio,us-east-1,Amazon Transcribe,Transcribe Call Analytics
Y8A53BNMJVW5XZ55,JRTCKXETXF,Y8A53BNMJVW5XZ55.JRTCKXETXF.Y5DREYKEMT,OnDemand,USD per second for CallAnalytics:StreamingAudio in US East (N. Virginia),5M min+,2024-09-01,300000000,Inf,seconds,0.0001900000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-CallAnalyticsStreamingAudio,CallAnalyticsStreamingAudio,us-east-1,Amazon Transcribe,Transcribe Call Analytics
